instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
USD_CAD,short,247,2025-03-20T17:00:00+00:00,2025-03-24T13:00:00+00:00,1.4330800,1.43183,1.44051,0.2156331408058219202000237458,0.1174978017806256069877691086,12,1.8,time,next_bar_open,False,False,
USD_CAD,long,563,2025-03-24T17:00:00+00:00,2025-03-25T09:00:00+00:00,1.4320300,1.42864,1.42864,-1.335934875125993952290290066,-0.6999664016127225893157128457,5,2.1,stop,next_bar_open,False,False,
USD_CAD,long,542,2025-03-25T17:00:00+00:00,2025-03-26T05:00:00+00:00,1.4302600,1.42681,1.42681,-1.310545903098520475746595552,-0.7008641655160813282777664859,4,1.6,stop,next_bar_open,False,False,
USD_CAD,long,292,2025-04-29T05:00:00+00:00,2025-04-30T13:00:00+00:00,1.3866100,1.38051,1.38051,-1.290247806969887939964216123,-0.7243699792105815966563081759,9,2.1,stop,next_bar_open,False,False,
USD_CAD,long,477,2025-05-02T17:00:00+00:00,2025-05-06T13:00:00+00:00,1.3794500,1.37568,1.37568,-1.307200802512212142358688067,-0.7269132356361944638287973947,12,1.9,stop,next_bar_open,False,False,
USD_CAD,short,674,2025-09-10T05:00:00+00:00,2025-09-10T17:00:00+00:00,1.3839200,1.38662,1.38662,-1.312399936536325741731692894,-0.7211781165712307625737404627,4,1.6,stop,next_bar_open,False,False,
USD_CAD,long,683,2025-10-29T09:00:00+00:00,2025-10-29T13:00:00+00:00,1.3948800,1.39219,1.39219,-1.319697742405849776251804711,-0.7182927617638397057872847818,2,1.7,stop,next_bar_open,False,False,
USD_CAD,short,714,2025-11-20T14:00:00+00:00,2025-11-20T14:00:00+00:00,1.4047600,1.40734,1.40734,-1.308937428055764776102434380,-0.7105603478903463271135617549,1,1.6,stop,next_bar_open,False,False,
