instrument,timeframe,weekday,n_bars,median_spread_pips,median_atr_pips,spread_atr_ratio,round_trip_cost_pips,cost_in_R_stop_1.0xATR,cost_in_R_stop_1.5xATR,opportunity_score,flags
NZD_USD,H4,Tuesday,1996,2.4,24.0403,0.09478,2.8,0.11647,0.07765,0.6209,COST_FEASIBLE
NZD_USD,H4,Wednesday,1986,2.4,24.4446,0.09399,2.8,0.11454,0.07636,0.6241,COST_FEASIBLE
NZD_USD,H4,Thursday,1986,2.4,24.7603,0.0927,2.8,0.11308,0.07539,0.6292,COST_FEASIBLE
NZD_USD,H4,Friday,1655,2.4,24.514,0.09803,2.8,0.11422,0.07615,0.6079,COST_FEASIBLE
NZD_USD,H4,Sunday,331,2.4,24.7345,0.09442,2.8,0.1132,0.07547,0.6223,COST_FEASIBLE
USD_CAD,H4,Monday,1983,1.9,29.9157,0.06477,2.3,0.07688,0.05126,0.7409,COST_FEASIBLE
USD_CAD,H4,Tuesday,1996,1.9,29.5303,0.06516,2.3,0.07789,0.05192,0.7394,COST_FEASIBLE
USD_CAD,H4,Wednesday,1986,1.9,29.7319,0.06474,2.3,0.07736,0.05157,0.7411,COST_FEASIBLE
USD_CAD,H4,Thursday,1986,1.9,30.2105,0.06399,2.3,0.07613,0.05075,0.744,COST_FEASIBLE
USD_CAD,H4,Friday,1655,1.9,30.1753,0.06733,2.3,0.07622,0.05081,0.7307,COST_FEASIBLE
USD_CAD,H4,Sunday,330,1.9,30.4625,0.06329,2.3,0.0755,0.05034,0.7469,COST_FEASIBLE
USD_CHF,H4,Monday,1983,1.7,23.7025,0.07125,2.1,0.0886,0.05907,0.715,COST_FEASIBLE
USD_CHF,H4,Tuesday,1996,1.7,23.2004,0.07246,2.1,0.09052,0.06034,0.7102,COST_FEASIBLE
USD_CHF,H4,Wednesday,1986,1.7,23.277,0.07233,2.1,0.09022,0.06015,0.7107,COST_FEASIBLE
USD_CHF,H4,Thursday,1986,1.7,23.8907,0.07014,2.1,0.0879,0.0586,0.7194,COST_FEASIBLE
USD_CHF,H4,Friday,1655,1.7,23.9825,0.07245,2.1,0.08756,0.05838,0.7102,COST_FEASIBLE
USD_CHF,H4,Sunday,330,1.7,23.9869,0.07117,2.1,0.08755,0.05837,0.7153,COST_FEASIBLE
USD_JPY,H4,Monday,1983,1.6,40.9291,0.04278,2.0,0.04887,0.03258,0.8289,COST_FEASIBLE
USD_JPY,H4,Tuesday,1996,1.6,41.0895,0.04338,2.0,0.04867,0.03245,0.8265,COST_FEASIBLE
USD_JPY,H4,Wednesday,1986,1.6,41.3303,0.04358,2.0,0.04839,0.03226,0.8257,COST_FEASIBLE
USD_JPY,H4,Thursday,1987,1.7,41.6875,0.04235,2.1,0.05037,0.03358,0.8306,COST_FEASIBLE
USD_JPY,H4,Friday,1655,1.7,42.0488,0.04573,2.1,0.04994,0.03329,0.8171,COST_FEASIBLE
USD_JPY,H4,Sunday,330,1.6,42.1283,0.04036,2.0,0.04747,0.03165,0.8385,COST_FEASIBLE
