instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
EUR_USD,long,407,2023-04-07T13:00:00+00:00,2023-04-10T09:00:00+00:00,1.0905150,1.08737,1.08737,-1.2800150,-1,6,1.5,stop,next_bar_open,False,False,
EUR_USD,short,213,2023-04-26T17:00:00+00:00,2023-04-28T13:00:00+00:00,1.1039750,1.10315,1.10988,0.1757250,0.1397121083827265029635901778,12,1.3,time,next_bar_open,False,False,
EUR_USD,long,202,2023-05-02T17:00:00+00:00,2023-05-04T13:00:00+00:00,1.1001250,1.10242,1.09389,0.4635900,0.3680834001603849238171611868,12,1.3,time,next_bar_open,False,False,
EUR_USD,short,535,2023-07-07T13:00:00+00:00,2023-07-07T13:00:00+00:00,1.0910350,1.09344,1.09344,-1.2866750,-1,1,1.5,stop,next_bar_open,False,False,
EUR_USD,short,396,2023-10-11T17:00:00+00:00,2023-10-12T05:00:00+00:00,1.0605750,1.06379,1.06379,-1.2731400,-1,4,1.5,stop,next_bar_open,False,False,
EUR_USD,long,458,2023-10-13T13:00:00+00:00,2023-10-13T13:00:00+00:00,1.0538950,1.05111,1.05111,-1.2755300,-1,1,1.5,stop,next_bar_open,False,False,
EUR_USD,short,226,2023-10-31T13:00:00+00:00,2023-11-02T09:00:00+00:00,1.0622550,1.06651,1.06779,-0.9616300,-0.7687443541102077687443541102,12,1.5,time,next_bar_open,False,False,
EUR_USD,long,513,2023-11-10T10:00:00+00:00,2023-11-14T06:00:00+00:00,1.0678750,1.07152,1.06539,1.8698850,1.466800804828973843058350101,12,1.5,time,next_bar_open,False,False,
