instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
AUD_USD,long,589,2024-11-22T06:00:00+00:00,2024-11-25T06:00:00+00:00,0.6491200,0.65147,0.64689,1.3841500,1.053811659192825112107623318,12,1.1,time,next_bar_open,False,False,
AUD_USD,short,783,2024-11-29T06:00:00+00:00,2024-12-02T06:00:00+00:00,0.6512900,0.64951,0.65302,1.3937400,1.028901734104046242774566474,12,1.3,time,next_bar_open,False,False,
AUD_USD,long,694,2024-12-16T14:00:00+00:00,2024-12-17T06:00:00+00:00,0.6362200,0.63430,0.63430,-1.3324800,-1,8,1.1,stop,next_bar_open,False,False,
AUD_USD,long,1694,2024-12-17T10:00:00+00:00,2024-12-17T14:00:00+00:00,0.6343600,0.63351,0.63351,-1.4399000,-1,2,1.1,stop,next_bar_open,False,False,
AUD_USD,short,731,2025-05-01T01:00:00+00:00,2025-05-02T01:00:00+00:00,0.6411700,0.64137,0.64300,-0.1462000,-0.1092896174863387978142076503,12,1.2,time,next_bar_open,False,False,
