timestamp,pair,fold,in_test_window,high,low,close,prior_high,prior_low,bespoke_atr,bespoke_adx,bt_atr,bt_adx,range_width_atr,sweep_distance_atr,stop_distance_atr,bespoke_raw,bt_raw,bespoke_accepted,bespoke_rejection,bt_accepted,bt_rejection,bespoke_position,bt_position,bespoke_pending,bt_pending,bespoke_entry_bar,bt_entry_bar
2021-11-03T17:00:00+00:00,EUR_USD,0,False,1.16164,1.1572049999999998,1.16117,1.1656900000000001,1.1535199999999999,0.0023475657749898746,16.529595886579312,0.002347566964045553,16.52904012344037,5.184093297685227,,,none,none,n/a,,n/a,,flat,flat,none,none,no,no
2021-11-03T21:00:00+00:00,EUR_USD,0,False,1.1617600000000001,1.160745,1.16125,1.163605,1.1535199999999999,0.0022523825053477557,15.921677476840339,0.002252383609470886,15.921162027388547,4.477481056639202,,,none,none,n/a,,n/a,,flat,flat,none,none,no,no
2021-11-04T01:00:00+00:00,EUR_USD,0,False,1.16128,1.1590850000000001,1.1590850000000001,1.1617600000000001,1.153805,0.0022482837549657694,15.096066710875581,0.0022482847802229615,15.095586612849127,3.538254449612955,,,none,none,n/a,,n/a,,flat,flat,none,none,no,no
2021-11-04T05:00:00+00:00,EUR_USD,0,False,1.15921,1.15489,1.1552850000000001,1.1617600000000001,1.15461,0.0023962634867539362,15.95375366030976,0.0023962644387784714,15.953305448375515,2.983812105606907,,,none,none,n/a,,n/a,,flat,flat,none,none,no,no
2021-11-04T09:00:00+00:00,EUR_USD,0,False,1.1562999999999999,1.154265,1.15624,1.1617600000000001,1.15461,0.002370458951985783,16.941525902594414,0.0023704598360085654,16.94110724135956,3.0162935299978546,0.1455414360627523,0.9331719890552562,long,long,yes,,n/a,,flat,flat,none,long,no,no
2021-11-04T13:00:00+00:00,EUR_USD,0,False,1.15732,1.15282,1.15439,1.1617600000000001,1.154265,0.0025225690268439378,18.27919226038869,0.0025225698477222354,18.278800951253526,2.9711773672957724,0.572828725249205,0.7223813831426964,none,none,yes,,no,same_bar_adverse_stop,long,flat,long,none,yes,no
2021-11-04T17:00:00+00:00,EUR_USD,0,False,1.155795,1.1543,1.15544,1.1617600000000001,1.15282,0.002449171239212214,19.52131102119766,0.0024491720014563475,19.52094511044078,3.6502143487834515,,,none,none,n/a,,n/a,,long,flat,none,none,no,no
2021-11-04T21:00:00+00:00,EUR_USD,0,False,1.15583,1.154725,1.15515,1.1617600000000001,1.15282,0.0023531590078399067,20.651940481991993,0.002353159715638031,20.651598177344923,,,,none,none,n/a,,n/a,,long,flat,none,none,no,no
2021-11-05T01:00:00+00:00,EUR_USD,0,False,1.15578,1.1541,1.15576,1.1617600000000001,1.15282,0.0023050762215656366,21.901424321228035,0.0023050768788067523,21.90110391249244,,,,none,none,n/a,,n/a,,long,flat,none,none,no,no
2021-11-05T05:00:00+00:00,EUR_USD,0,False,1.156315,1.154715,1.15494,1.1617600000000001,1.15282,0.0022547136343109516,22.683525732311654,0.0022547142446062733,22.68322599645051,,,,none,none,n/a,,n/a,,long,flat,none,none,no,no
2021-11-05T09:00:00+00:00,EUR_USD,0,False,1.15496,1.15134,1.15146,1.1617600000000001,1.15282,0.0023522340890030236,24.400521507938556,0.002352234655705822,24.40024092022488,,,,none,none,n/a,,n/a,,long,flat,none,none,no,no
