instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
AUD_USD,short,683,2025-03-26T13:00:00+00:00,2025-03-28T09:00:00+00:00,0.6313900,0.63032,0.63328,0.7308100,0.5661375661375661375661375661,12,1.2,time,next_bar_open,False,False,
AUD_USD,short,289,2025-04-03T17:00:00+00:00,2025-04-07T13:00:00+00:00,0.6348400,0.59504,0.63923,11.5022000,9.066059225512528473804100228,12,1.4,time,next_bar_open,False,False,
AUD_USD,short,313,2025-04-29T05:00:00+00:00,2025-05-01T01:00:00+00:00,0.6411050,0.64015,0.64526,0.2989150,0.2298435619735258724428399519,12,1.5,time,next_bar_open,False,False,
AUD_USD,short,518,2025-05-02T17:00:00+00:00,2025-05-05T01:00:00+00:00,0.6447100,0.64725,0.64725,-1.3157200,-1,3,1.4,stop,next_bar_open,False,False,
AUD_USD,short,605,2025-06-02T05:00:00+00:00,2025-06-02T05:00:00+00:00,0.6453850,0.64757,0.64757,-1.3219250,-1,1,1.5,stop,next_bar_open,False,False,
AUD_USD,short,670,2025-06-05T05:00:00+00:00,2025-06-05T09:00:00+00:00,0.6491950,0.65116,0.65116,-1.3165500,-1,2,1.3,stop,next_bar_open,False,False,
AUD_USD,short,476,2025-06-05T17:00:00+00:00,2025-06-09T13:00:00+00:00,0.6513000,0.6523,0.65403,-0.4760000,-0.3663003663003663003663003663,12,1.2,time,next_bar_open,False,False,
AUD_USD,short,638,2025-06-11T13:00:00+00:00,2025-06-13T09:00:00+00:00,0.6527400,0.64797,0.65480,3.0432600,2.315533980582524271844660194,12,1.4,time,next_bar_open,False,False,
AUD_USD,long,381,2025-07-16T17:00:00+00:00,2025-07-17T01:00:00+00:00,0.6527050,0.64929,0.64929,-1.3011150,-1,3,1.3,stop,next_bar_open,False,False,
AUD_USD,long,492,2025-08-12T13:00:00+00:00,2025-08-14T09:00:00+00:00,0.6506250,0.65051,0.64798,-0.0565800,-0.04347826086956521739130434783,12,1.1,time,next_bar_open,False,False,
AUD_USD,long,561,2025-11-03T18:00:00+00:00,2025-11-04T02:00:00+00:00,0.6539200,0.65158,0.65158,-1.3127400,-1,3,1.4,stop,next_bar_open,False,False,
AUD_USD,long,562,2025-11-14T14:00:00+00:00,2025-11-17T14:00:00+00:00,0.6525000,0.65017,0.65017,-1.3094600,-1,7,1.4,stop,next_bar_open,False,False,
