timestamp,pair,fold,in_test_window,csv_mid_open,csv_mid_high,csv_mid_low,csv_mid_close,csv_bid_close,csv_ask_close,sqlite_mid_close,sqlite_bid_close,sqlite_ask_close,ohlc_match,spread_close_csv_pips,spread_close_sqlite_pips,spread_match,bespoke_atr,bespoke_adx,bt_atr,bt_adx,prior_high,prior_low,range_width_atr,sweep_distance_atr,stop_distance_atr,bespoke_raw,bt_raw,side,planned_entry_timestamp,planned_entry_price,planned_stop,bespoke_risk_decision,bespoke_risk_rejection,bt_risk_decision,bt_risk_rejection,session_gate_bespoke,session_gate_bt,spread_gate_bespoke,spread_gate_bt,margin_gate_bespoke,margin_gate_bt,open_position_before,pending_entry_before,open_position_after,pending_entry_after,trade_accepted_bespoke,trade_accepted_bt
2022-05-03T09:00:00+00:00,AUD_USD,1,False,0.70992,0.7126950000000001,0.707985,0.7116549999999999,0.71159,0.71172,0.71166,0.71159,0.71172,mismatch,1.3,1.3,match,0.0042147992419867275,23.56004416939113,0.004214799143001485,23.559674217392697,0.718,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-03T13:00:00+00:00,AUD_USD,1,False,0.71166,0.71218,0.708575,0.70909,0.70902,0.70916,0.70909,0.70902,0.70916,match,1.4,1.4,match,0.004171242153273396,22.65480043823143,0.004171242061358528,22.654456985502573,0.718,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-03T17:00:00+00:00,AUD_USD,1,False,0.709105,0.71048,0.707935,0.709465,0.70939,0.70954,0.709465,0.70939,0.70954,match,1.5,1.5,match,0.004055081999468155,21.58370612366253,0.004055081914118634,21.58338740754661,0.718,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-03T21:00:00+00:00,AUD_USD,1,False,0.70958,0.710735,0.7088749999999999,0.70997,0.7099,0.71004,0.70997,0.7099,0.71004,match,1.4,1.4,match,0.003898290428077579,20.67046892782596,0.0038982903488244524,20.670173132786022,0.718,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-04T01:00:00+00:00,AUD_USD,1,False,0.70997,0.7119150000000001,0.709305,0.7107,0.71062,0.71078,0.7107,0.71062,0.71078,match,1.6,1.6,match,0.0038062696832149028,20.199679728810224,0.003806269609622714,20.199405007156997,0.718,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-04T05:00:00+00:00,AUD_USD,1,False,0.71069,0.712315,0.709875,0.71189,0.71182,0.71196,0.71189,0.71182,0.71196,match,1.4,1.4,match,0.0037086789915566952,19.88956508439745,0.0037086789232210916,19.889309865577783,0.718,0.7030050000000001,4.043218632331889,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-04T09:00:00+00:00,AUD_USD,1,False,0.711885,0.714615,0.71128,0.714405,0.71434,0.71447,0.714405,0.71434,0.71447,match,1.3,1.3,match,0.00368198763501693,20.284490180112144,0.0036819875715624405,20.28425276814297,0.718,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-04T13:00:00+00:00,AUD_USD,1,False,0.7143999999999999,0.71515,0.7115149999999999,0.71507,0.71499,0.71515,0.71507,0.71499,0.71515,match,1.6,1.6,match,0.0036786313753728677,20.798637940243776,0.0036786313164508416,20.798417008460497,0.718,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-04T17:00:00+00:00,AUD_USD,1,False,0.7150799999999999,0.718315,0.71275,0.7129,0.7128,0.713,0.7129,0.7128,0.713,match,2.0,2.0,match,0.003813371991417666,22.05245557450938,0.003813371936704356,22.052249719868275,0.718,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-04T21:00:00+00:00,AUD_USD,1,False,0.7129,0.7129,0.7129,0.7129,0.7128,0.713,0.7129,0.7128,0.713,match,2.0,2.0,match,0.003540988277744976,23.216714806327442,0.003540988226939759,23.216522951889786,0.718315,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-05T01:00:00+00:00,AUD_USD,1,False,0.72406,0.72494,0.7231650000000001,0.72353,0.72345,0.72361,0.72353,0.72345,0.72361,match,1.6,1.6,match,0.004148060543620338,26.050626734162453,0.004148060496444066,26.05044775572573,0.718315,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-05T05:00:00+00:00,AUD_USD,1,False,0.7235499999999999,0.72496,0.7203550000000001,0.7218100000000001,0.72174,0.72188,0.72181,0.72174,0.72188,match,1.4,1.4,match,0.004180699076218883,27.623914411139125,0.004180699032412345,27.62374768616821,0.72494,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-05T09:00:00+00:00,AUD_USD,1,False,0.7218,0.72261,0.71785,0.71852,0.71845,0.71859,0.71852,0.71845,0.71859,match,1.4,1.4,match,0.004222077713631819,28.235472104192247,0.004222077672954319,28.235316963847623,0.72496,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-05T13:00:00+00:00,AUD_USD,1,False,0.71852,0.71883,0.7077249999999999,0.7088300000000001,0.70875,0.70891,0.70883,0.70875,0.70891,match,1.6,1.6,match,0.004713715019800977,26.28382640960143,0.004713714982029013,26.28368247043145,0.72496,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-05T17:00:00+00:00,AUD_USD,1,False,0.70885,0.71167,0.70791,0.7114,0.71133,0.71147,0.7114,0.71133,0.71147,match,1.4,1.4,match,0.0046455925183866206,24.47158397890996,0.004645592483312654,24.47145044083072,0.72496,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-05T21:00:00+00:00,AUD_USD,1,False,0.711195,0.71326,0.710375,0.712355,0.71227,0.71244,0.712355,0.71227,0.71244,match,1.7,1.7,match,0.0045198359099304355,23.107617221928688,0.0045198358773617525,23.10749329310537,0.72496,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-06T01:00:00+00:00,AUD_USD,1,False,0.71236,0.71252,0.7081949999999999,0.71102,0.71094,0.7111,0.71102,0.71094,0.7111,match,1.6,1.6,match,0.004505919059221129,21.542487028038195,0.004505919028978779,21.54237182480826,0.72496,0.7030050000000001,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-06T05:00:00+00:00,AUD_USD,1,False,0.71098,0.7114199999999999,0.7064,0.70885,0.70878,0.70892,0.70885,0.70878,0.70892,match,1.4,1.4,match,0.004542639126419614,20.458987480932734,0.004542639098337432,20.458880341827086,0.72496,0.704655,,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-06T09:00:00+00:00,AUD_USD,1,False,0.708855,0.7135400000000001,0.70748,0.707775,0.7077,0.70785,0.70778,0.7077,0.70785,mismatch,1.5,1.5,match,0.004651022045961075,19.017169796779854,0.0046510220198847626,19.017070410887708,0.72496,0.7064,3.990520753630363,,,none,none,none,,,,n/a,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,none,n/a,n/a
2022-05-06T13:00:00+00:00,AUD_USD,1,False,0.707755,0.71174,0.705865,0.710225,0.71014,0.71031,0.710225,0.71014,0.71031,match,1.7,1.7,match,0.004738449042678146,17.988532647800167,0.0047384490184644275,17.988440227612767,0.72496,0.7064,3.916893446111643,0.11290614190032189,1.0201322966081314,long,long,long,2022-05-06T17:00:00+00:00,0.7103999999999999,0.70539,approved,,n/a,,pass,pass,pass,pass,pass,pass,flat,none,flat,long,n/a,n/a
2022-05-06T17:00:00+00:00,AUD_USD,1,False,0.71024,0.71056,0.706305,0.707655,0.70735,0.70796,0.70766,0.70735,0.70796,mismatch,6.1,6.1,match,0.004703916968201136,17.033369580890454,0.004703916945716969,17.03328362885747,0.72496,0.705865,4.059382877947006,,,none,none,long,2022-05-06T17:00:00+00:00,0.7103999999999999,0.70539,approved,,approved,,pass,pass,pass,pass,pass,pass,flat,long,long,none,n/a,yes
