candidate_id,execution_timeframe,trade_count,expectancy_r,profit_factor,pairs_nonneg,top_pair_concentration,stress_2x_expectancy_r,beat_c011_null_by,avg_hold_bars,avg_spread_atr_ratio
C026_TF_001,M3,8544,-0.18222502769616095,0.6892046835490382,0,0.1905,-0.7315176286030459,-0.17931,41.54,0.6373823335206591
C026_TF_002,M3,6366,-0.14056557901937214,0.7295050282633467,0,0.1979,-0.6002854197204446,-0.13765,54.41,0.627898015909798
C026_TF_003,M3,7209,-0.16639030875877803,0.659290484881764,0,0.2207,-0.6459304582489168,-0.16347,39.3,0.6446999827879484
C026_TF_004,M15,2659,-0.06705635065498214,0.8504466764272968,1,0.1912,-0.26382248732362135,-0.06414,25.6,0.21984380430135153
C026_TF_005,M15,2270,-0.03943440379429633,0.9199286232448723,1,0.1902,-0.23347394109318853,-0.03652,36.31,0.21801235337451783
C026_TF_006,M15,2032,-0.06042978961606545,0.8480908471930456,1,0.1872,-0.21360884613450207,-0.05751,36.71,0.2146893913427734
C026_TF_007,M15,2414,-0.07957190504555264,0.8309908364009133,1,0.1864,-0.28180432534273175,-0.07666,25.05,0.21778729556651225
C026_TF_008,M30,2197,-0.03154114254084184,0.9184689270145632,1,0.1752,-0.16346647532624922,-0.02863,20.18,0.1453158704064733
C026_TF_009,M30,1899,-0.009506080235628968,0.9778973782540249,1,0.1912,-0.1406365457770783,-0.00659,28.88,0.14625242838713617
C026_TF_010,M30,1592,-0.008327065418631508,0.9759989858773661,2,0.2065,-0.11242048054679438,-0.00541,30.13,0.14228647401747954
C026_TF_011,M30,1635,-0.031209542733845918,0.9101501660682688,1,0.2107,-0.1361777308508536,-0.02829,27.3,0.14116297817263
