instrument,bar_type,method,threshold_pips,bar_count,bars_per_year,bars_per_day,median_minutes_per_bar,avg_overshoot_pips,multi_threshold_rate,spread_pips,round_trip_cost_pips,cost_to_threshold,baseline_stop_pips,cost_to_risk_baseline,cost_to_risk_wide,min_gross_edge_baseline_r,cadence_class,label
GBP_USD,range,,25.0,5443,2099.6,5.748,74.0,3.0429,0.0123,2.1723,2.5723,0.1029,50.0,0.0514,0.0257,0.0514,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
GBP_USD,range,,30.0,3853,1486.27,4.069,106.0,3.2514,0.0104,2.1723,2.5723,0.0857,60.0,0.0429,0.0214,0.0429,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
GBP_USD,volatility,abs_close,20.0,57060,22010.5,60.261,13.0,1.5114,0.0022,2.1723,2.5723,0.1286,20.0,0.1286,0.0643,0.1286,very_high,TOO_NOISY
GBP_USD,volatility,abs_close,30.0,38925,15015.05,41.109,20.0,1.5329,0.0012,2.1723,2.5723,0.0857,30.0,0.0857,0.0429,0.0857,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
GBP_USD,volatility,abs_close,40.0,29525,11389.07,31.182,26.0,1.572,0.0008,2.1723,2.5723,0.0643,40.0,0.0643,0.0322,0.0643,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
GBP_USD,volatility,abs_close,50.0,23811,9184.93,25.147,33.0,1.5482,0.0005,2.1723,2.5723,0.0514,50.0,0.0514,0.0257,0.0514,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
GBP_USD,volatility,true_range,20.0,99647,38438.15,105.238,7.0,1.9411,0.0026,2.1723,2.5723,0.1286,20.0,0.1286,0.0643,0.1286,very_high,TOO_NOISY
GBP_USD,volatility,true_range,30.0,68384,26378.66,72.221,11.0,1.9716,0.0013,2.1723,2.5723,0.0857,30.0,0.0857,0.0429,0.0857,very_high,TOO_NOISY
GBP_USD,volatility,true_range,40.0,52041,20074.46,54.961,14.0,2.0119,0.0009,2.1723,2.5723,0.0643,40.0,0.0643,0.0322,0.0643,very_high,TOO_NOISY
GBP_USD,volatility,true_range,50.0,42015,16207.0,44.372,18.0,2.0372,0.0005,2.1723,2.5723,0.0514,50.0,0.0514,0.0257,0.0514,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
