campaign,split,instrument,entry_time,side,attribution,weekday,session
C008,validation,USD_JPY,2023-06-15T01:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,Asia/late
C008,validation,USD_JPY,2023-07-20T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C008,validation,USD_JPY,2023-08-10T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C008,validation,USD_JPY,2023-08-23T13:00:00+00:00,long,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C008,validation,USD_JPY,2023-09-01T09:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,London
C008,validation,USD_JPY,2023-09-20T05:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,Asia/late
C008,validation,USD_JPY,2023-10-12T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C008,validation,USD_JPY,2024-02-08T10:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London
C008,validation,USD_JPY,2024-02-29T06:00:00+00:00,long,risk_engine_or_orchestration_divergence,Thursday,Asia/late
C008,validation,USD_JPY,2024-03-27T05:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,Asia/late
C008,validation,USD_JPY,2024-04-10T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London
C008,validation,USD_JPY,2024-04-10T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C008,validation,USD_JPY,2024-05-13T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,London/NY overlap
C008,validation,USD_JPY,2024-05-14T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London
C008,validation,USD_JPY,2024-05-23T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C008,validation,USD_JPY,2024-05-29T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C008,validation,USD_JPY,2024-08-15T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London
C008,validation,USD_JPY,2024-10-02T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C008,validation,USD_JPY,2024-10-17T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C008,validation,USD_JPY,2024-10-22T01:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,Asia/late
C008,validation,USD_JPY,2024-11-12T14:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
C009,validation,GBP_USD,2024-01-16T06:00:00+00:00,long,risk_engine_or_orchestration_divergence,Tuesday,Asia/late
C009,train,USD_JPY,2020-04-28T09:00:00+00:00,long,backtrader_position_still_open,Tuesday,London
C009,train,USD_JPY,2020-05-06T13:00:00+00:00,long,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C009,train,USD_JPY,2020-05-11T05:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,Asia/late
C009,train,USD_JPY,2020-05-29T01:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,Asia/late
C009,train,USD_JPY,2020-06-02T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London
C009,train,USD_JPY,2020-06-02T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
C009,train,USD_JPY,2020-06-23T13:00:00+00:00,long,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
C009,train,USD_JPY,2020-07-10T01:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,Asia/late
C009,train,USD_JPY,2020-07-24T01:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,Asia/late
C009,train,USD_JPY,2020-08-11T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
