instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
USD_CAD,long,257,2021-07-02T13:00:00+00:00,2021-07-05T13:00:00+00:00,1.234520,1.23309,1.22843,-0.2980398835445912301616264831,-0.1904250021049952592830157770,6,1.8,time,signal_bar_close
USD_CAD,short,296,2021-08-06T13:00:00+00:00,2021-08-09T13:00:00+00:00,1.256350,1.25759,1.26174,-0.2918598271296686519453876065,-0.1829337531525276111576666039,6,1.8,time,signal_bar_close
USD_CAD,long,251,2021-09-03T13:00:00+00:00,2021-09-06T13:00:00+00:00,1.251650,1.25274,1.24535,0.2183932819260181681753596117,0.1381099613773592412416110869,6,1.8,time,signal_bar_close
USD_CAD,long,184,2021-10-01T13:00:00+00:00,2021-10-04T13:00:00+00:00,1.264725,1.25606,1.25606,-1.269334267471299141760743914,-0.7961403117685460885626482814,6,1.9,stop,signal_bar_close
USD_CAD,long,294,2021-11-05T13:00:00+00:00,2021-11-08T14:00:00+00:00,1.244360,1.24551,1.23898,0.2714550665992244140954307874,0.1716201771484361417288968891,6,2.2,time,signal_bar_close
USD_CAD,long,195,2021-12-03T14:00:00+00:00,2021-12-06T14:00:00+00:00,1.283975,1.27731,1.27570,-1.017509453460788688728656317,-0.6305736794241466813718530123,6,1.9,time,signal_bar_close
USD_CAD,short,233,2022-01-07T14:00:00+00:00,2022-01-10T14:00:00+00:00,1.264520,1.26952,1.27136,-0.9176696704266179343373873590,-0.5758035730408214330857285841,6,2.2,time,signal_bar_close
USD_CAD,short,225,2022-02-04T14:00:00+00:00,2022-02-07T14:00:00+00:00,1.276030,1.26889,1.28314,1.266067192585645721851381916,0.7914156540619757598695933215,6,1.6,time,signal_bar_close
USD_CAD,short,190,2022-03-04T14:00:00+00:00,2022-03-07T14:00:00+00:00,1.272830,1.27899,1.28125,-0.9150970687808348775205435539,-0.5720071688841323149897134354,6,2.0,time,signal_bar_close
USD_CAD,short,247,2022-04-01T13:00:00+00:00,2022-04-04T13:00:00+00:00,1.252780,1.24979,1.25914,0.5909232751102185167108074156,0.3761638244533257687920501462,6,1.6,time,signal_bar_close
USD_CAD,short,182,2022-05-06T13:00:00+00:00,2022-05-09T13:00:00+00:00,1.287730,1.29663,1.29663,-1.249238410340652306363419017,-0.7712300347824745686896030479,6,2.2,stop,signal_bar_close
USD_CAD,short,254,2022-06-03T13:00:00+00:00,2022-06-06T13:00:00+00:00,1.257505,1.25722,1.26372,0.05757942126278614721369370516,0.03647476024020254984682328451,6,1.5,time,signal_bar_close
