campaign_id,ledger_label,financing_mode,hold_bucket,trades,gross_r,financing_r,adjusted_r,hold_days
CAMPAIGN_019,c019_train_validation_base,none,1-3d,80,-63.8255623343407,0.0,-63.8255623343407,158.6666666666666
CAMPAIGN_019,c019_train_validation_base,none,3-7d,154,159.77652260851158,0.0,159.77652260851158,917.3333333333317
CAMPAIGN_019,c019_train_validation_base,none,0-1d,123,-98.44098951833512,0.0,-98.44098951833512,64.33333333333334
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,1-3d,80,-63.8255623343407,-3.83561218009884,-67.66117451443955,158.6666666666666
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,3-7d,154,159.77652260851158,-24.01368452398113,135.7628380845302,917.3333333333317
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,0-1d,123,-98.44098951833512,-1.5372739403341538,-99.97826345866929,64.33333333333334
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,1-3d,80,-63.8255623343407,-6.005475893682084,-69.83103822802279,158.6666666666666
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,3-7d,154,159.77652260851158,-36.636516248234415,123.14000636027704,917.3333333333317
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,0-1d,123,-98.44098951833512,-2.47983388218788,-100.92082340052302,64.33333333333334
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,3-7d,76,33.20252765055543,0.0,33.20252765055543,467.33333333333326
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,1-3d,36,-25.186571793709156,0.0,-25.186571793709156,68.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,0-1d,25,-16.683733012321504,0.0,-16.683733012321504,13.333333333333336
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,3-7d,76,33.20252765055543,-6.357738947831508,26.84478870272393,467.33333333333326
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,1-3d,36,-25.186571793709156,-0.6980356710964466,-25.884607464805597,68.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,0-1d,25,-16.683733012321504,-0.06815137426553308,-16.75188438658704,13.333333333333336
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,3-7d,76,33.20252765055543,-10.052641449637548,23.149886200917898,467.33333333333326
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,1-3d,36,-25.186571793709156,-1.038187492010559,-26.22475928571971,68.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,0-1d,25,-16.683733012321504,-0.10730266774141627,-16.791035680062922,13.333333333333336
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,3-7d,194,20.24749858884396,0.0,20.24749858884396,1272.3333333333337
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,1-3d,30,-21.401119681897505,0.0,-21.401119681897505,72.00000000000001
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,0-1d,6,-4.059640409731941,0.0,-4.059640409731941,5.0
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,3-7d,194,20.24749858884396,-9.467649399539345,10.7798491893046,1272.3333333333337
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,1-3d,30,-21.401119681897505,-0.5805295141358537,-21.981649196033352,72.00000000000001
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,0-1d,6,-4.059640409731941,-0.037961006381279715,-4.097601416113221,5.0
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,3-7d,194,20.24749858884396,-15.565903319711358,4.681595269132594,1272.3333333333337
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,1-3d,30,-21.401119681897505,-0.9555518289167627,-22.356671510814262,72.00000000000001
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,0-1d,6,-4.059640409731941,-0.06750017529102334,-4.127140585022964,5.0
CAMPAIGN_008,c008_deduped_forensic_train,none,1-3d,49,-40.6694528120572,0.0,-40.6694528120572,94.83333333333333
CAMPAIGN_008,c008_deduped_forensic_train,none,3-7d,90,94.68736045698826,0.0,94.68736045698826,541.0000000000002
CAMPAIGN_008,c008_deduped_forensic_train,none,0-1d,77,-59.40837821975043,0.0,-59.40837821975043,40.66666666666667
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,1-3d,49,-40.6694528120572,-2.3476932617817696,-43.017146073838965,94.83333333333333
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,3-7d,90,94.68736045698826,-13.99102837727634,80.69633207971187,541.0000000000002
CAMPAIGN_008,c008_deduped_forensic_train,synthetic_fixture,0-1d,77,-59.40837821975043,-0.9758268260008003,-60.384205045751244,40.66666666666667
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,1-3d,49,-40.6694528120572,-3.5271249986161597,-44.19657781067333,94.83333333333333
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,3-7d,90,94.68736045698826,-20.89212630976924,73.79523414721898,541.0000000000002
CAMPAIGN_008,c008_deduped_forensic_train,manual_observed_fixture,0-1d,77,-59.40837821975043,-1.5028374248208696,-60.911215644571314,40.66666666666667
