campaign_id,ledger_label,financing_mode,instrument,trades,gross_r,financing_r,adjusted_r,hold_days
CAMPAIGN_019,c019_train_validation_base,none,AUD_USD,71,5.675860360286592,0.0,5.675860360286592,246.66666666666657
CAMPAIGN_019,c019_train_validation_base,none,EUR_USD,56,7.316271944450488,0.0,7.316271944450488,177.49999999999991
CAMPAIGN_019,c019_train_validation_base,none,GBP_USD,66,-1.9417841138752516,0.0,-1.9417841138752516,210.4999999999999
CAMPAIGN_019,c019_train_validation_base,none,USD_CAD,59,-13.956895552123386,0.0,-13.956895552123386,158.99999999999997
CAMPAIGN_019,c019_train_validation_base,none,USD_CHF,43,0.34714710956678685,0.0,0.34714710956678685,140.33333333333337
CAMPAIGN_019,c019_train_validation_base,none,USD_JPY,62,0.06937100753037935,0.0,0.06937100753037935,206.3333333333333
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,AUD_USD,71,5.675860360286592,-4.164255347139796,1.5116050131467937,246.66666666666657
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,EUR_USD,56,7.316271944450488,-4.129376095646029,3.1868958488044616,177.49999999999991
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,GBP_USD,66,-1.9417841138752516,-4.790830841371554,-6.732614955246806,210.4999999999999
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,USD_CAD,59,-13.956895552123386,-2.8699394564315908,-16.82683500855497,158.99999999999997
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,USD_CHF,43,0.34714710956678685,-3.574421731167143,-3.227274621600358,140.33333333333337
CAMPAIGN_019,c019_train_validation_base,synthetic_fixture,USD_JPY,62,0.06937100753037935,-9.857747172658005,-9.788376165127618,206.3333333333333
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,AUD_USD,71,5.675860360286592,-7.138723452239651,-1.4628630919530652,246.66666666666657
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,EUR_USD,56,7.316271944450488,-8.258752191292057,-0.9424802468415636,177.49999999999991
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,GBP_USD,66,-1.9417841138752516,-8.212852870922664,-10.154636984797914,210.4999999999999
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,USD_CAD,59,-13.956895552123386,-6.887854695435817,-20.844750247559194,158.99999999999997
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,USD_CHF,43,0.34714710956678685,-4.76589564155619,-4.418748531989402,140.33333333333337
CAMPAIGN_019,c019_train_validation_base,manual_observed_fixture,USD_JPY,62,0.06937100753037935,-9.857747172658005,-9.788376165127618,206.3333333333333
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,AUD_USD,10,6.531781647128543,0.0,6.531781647128543,59.66666666666667
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,EUR_USD,5,6.120948096350963,0.0,6.120948096350963,35.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,GBP_USD,15,-15.0,0.0,-15.0,36.49999999999999
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,NZD_USD,5,11.202829727635734,0.0,11.202829727635734,35.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,USD_CAD,37,-9.764327761632055,0.0,-9.764327761632055,143.49999999999997
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,USD_CHF,35,-7.817233630451424,0.0,-7.817233630451424,128.33333333333331
CAMPAIGN_016,c016_weekly_momentum_folds_base,none,USD_JPY,30,0.05822476549301273,0.0,0.05822476549301273,110.66666666666666
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,AUD_USD,10,6.531781647128543,-0.5199727265982514,6.011808920530291,59.66666666666667
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,EUR_USD,5,6.120948096350963,-0.24765936350203965,5.873288732848923,35.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,GBP_USD,15,-15.0,-0.45786003810651754,-15.457860038106517,36.49999999999999
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,NZD_USD,5,11.202829727635734,-0.3706446953692115,10.832185032266523,35.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,USD_CAD,37,-9.764327761632055,-1.6116908883005099,-11.376018649932568,143.49999999999997
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,USD_CHF,35,-7.817233630451424,-1.820942469918465,-9.638176100369888,128.33333333333331
CAMPAIGN_016,c016_weekly_momentum_folds_base,synthetic_fixture,USD_JPY,30,0.05822476549301273,-2.09515581139849,-2.0369310459054772,110.66666666666666
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,AUD_USD,10,6.531781647128543,-0.8913818170255737,5.640399830102969,59.66666666666667
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,EUR_USD,5,6.120948096350963,-0.4953187270040793,5.625629369346885,35.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,GBP_USD,15,-15.0,-0.7849029224683159,-15.784902922468317,36.49999999999999
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,NZD_USD,5,11.202829727635734,-0.6353909063472197,10.567438821288516,35.0
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,USD_CAD,37,-9.764327761632055,-3.868058131921222,-13.63238589355328,143.49999999999997
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,USD_CHF,35,-7.817233630451424,-2.4279232932246204,-10.245156923676044,128.33333333333331
