instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
USD_CAD,short,404,2022-03-28T05:00:00+00:00,2022-03-28T13:00:00+00:00,1.2491150,1.25695,1.25695,-2.518270416484347030510362385,-0.7955765941366005012132543060,3,2.3,stop,next_bar_open,False,False,
USD_CAD,short,421,2022-06-06T05:00:00+00:00,2022-06-09T13:00:00+00:00,1.2577200,1.26524,1.26524,-2.502228826151560178306092125,-0.7903638835319781227277038349,21,2.0,stop,next_bar_open,False,False,
USD_CAD,long,358,2023-02-20T06:00:00+00:00,2023-03-01T02:00:00+00:00,1.3470150,1.3619,1.33764,3.912790953814523827006388134,1.165822258119783635607117507,42,1.7,time,next_bar_open,False,False,
USD_CAD,long,351,2023-03-27T05:00:00+00:00,2023-03-28T01:00:00+00:00,1.3733300,1.36349,1.36349,-2.533087884766298249345429743,-0.7334120528936772546920036084,6,2.0,stop,next_bar_open,False,False,
USD_CAD,short,448,2023-06-12T05:00:00+00:00,2023-06-14T05:00:00+00:00,1.3352100,1.329,1.34269,2.093363431151241534988713318,0.6246906724930891708212117188,13,1.8,eod,next_bar_open,False,False,
