instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips,protective_stop_armed,protective_stop_arm_time,protective_stop_arm_mfe_r,protective_stop_exit,thesis_invalidation_exit,zscore_at_exit
USD_CHF,long,851,2022-02-28T08:45:00+00:00,2022-02-28T08:45:00+00:00,0.926435,0.92499,0.92499,-1.329414372047265375841900994,-1.081092768570471032119266155,1,1.7,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,815,2022-03-09T11:30:00+00:00,2022-03-09T15:30:00+00:00,0.928580,0.92709,0.92709,-1.309851255002211220054147925,-1.078643928852646452879439968,17,1.4,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,673,2022-03-09T19:00:00+00:00,2022-03-10T04:00:00+00:00,0.927070,0.928,0.92528,0.6744504310344827586206896552,0.5598632248121749181275284146,32,1.6,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,867,2022-03-10T12:00:00+00:00,2022-03-10T13:00:00+00:00,0.926990,0.92559,0.92559,-1.311379768580040838816322562,-1.080391966205339297096986787,5,1.4,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,754,2022-03-14T11:00:00+00:00,2022-03-14T14:45:00+00:00,0.935580,0.93396,0.93396,-1.307850443273801875883335475,-1.070709666366867960083943638,16,1.6,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,737,2022-03-14T15:15:00+00:00,2022-03-15T00:45:00+00:00,0.935250,0.93867,0.93362,2.685224839400428265524625268,2.235247221283788751883048728,32,1.2,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,735,2022-03-15T10:15:00+00:00,2022-03-15T18:00:00+00:00,0.939075,0.94232,0.93741,2.531066941166482723490958485,2.068245340169951766861521509,32,1.5,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,1470,2022-03-16T07:15:00+00:00,2022-03-16T08:15:00+00:00,0.940280,0.93940,0.93940,-1.377049180327868852459016393,-1.064509261230572705982542048,5,1.6,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,961,2022-03-16T08:45:00+00:00,2022-03-16T09:00:00+00:00,0.940345,0.93905,0.93905,-1.325270219903093551994036526,-1.064906022043554656301581385,2,1.5,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,854,2022-03-16T10:00:00+00:00,2022-03-16T17:45:00+00:00,0.940420,0.94309,0.93897,2.417775609962993987848455609,1.952495849118140989944646377,32,1.6,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,871,2022-03-17T13:00:00+00:00,2022-03-17T13:30:00+00:00,0.940675,0.93926,0.93926,-1.312165960436939718501799289,-1.064667930072610352830952026,3,1.3,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,735,2022-03-21T12:45:00+00:00,2022-03-21T17:15:00+00:00,0.930855,0.93251,0.93251,-1.304463222914499576412049201,-1.072374558985962617022873750,19,1.5,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,888,2022-03-22T09:45:00+00:00,2022-03-22T11:00:00+00:00,0.936000,0.93460,0.93460,-1.330194735715814252086454098,-1.069976460517868606890648406,6,1.8,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,830,2022-04-01T08:30:00+00:00,2022-04-01T11:30:00+00:00,0.923515,0.92498,0.92498,-1.314568963653268178771432896,-1.081104456312568920409089926,13,1.7,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,925,2022-04-04T12:45:00+00:00,2022-04-04T22:45:00+00:00,0.926605,0.92629,0.92791,0.3145613144911420829329907480,0.2605871922884059918674459961,32,1.3,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,1157,2022-04-08T00:45:00+00:00,2022-04-08T09:00:00+00:00,0.934600,0.93506,0.93351,0.5691827262421662780998010823,0.4513275603959673293790498064,32,1.8,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,1115,2022-04-11T05:00:00+00:00,2022-04-11T07:30:00+00:00,0.935730,0.93461,0.93461,-1.336172307165555686329057040,-1.069965012144102887835567777,11,1.6,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,924,2022-04-11T14:00:00+00:00,2022-04-11T14:00:00+00:00,0.934315,0.93299,0.93299,-1.312232714177000825303593822,-1.071822849119497529448332780,1,1.5,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,1163,2022-04-18T12:15:00+00:00,2022-04-18T12:15:00+00:00,0.943730,0.94265,0.94265,-1.332456372991035909404338832,-1.060839123746883785073993529,1,1.6,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,943,2022-04-18T13:00:00+00:00,2022-04-18T22:00:00+00:00,0.943620,0.94433,0.94230,0.7090000317685554837821524255,0.5695877372092254601546904026,32,1.8,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,954,2022-04-19T08:45:00+00:00,2022-04-19T12:15:00+00:00,0.946030,0.94474,0.94474,-1.302644113724410949044181468,-1.058492283591252619768401888,15,1.4,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,484,2022-04-19T13:15:00+00:00,2022-04-19T22:30:00+00:00,0.946455,0.95227,0.94398,2.955527318932655654383735705,2.467257132425624554957622260,32,1.5,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,693,2022-04-20T12:45:00+00:00,2022-04-20T14:00:00+00:00,0.948580,0.94682,0.94682,-1.288185716398048203460002957,-1.056166958872858621490885279,6,1.4,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,605,2022-04-20T15:45:00+00:00,2022-04-21T00:45:00+00:00,0.947680,0.94967,0.94567,1.267756167932018490633588510,1.042519771335075441497955273,32,1.6,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,569,2022-04-21T09:15:00+00:00,2022-04-21T17:00:00+00:00,0.949015,0.95323,0.94689,2.516008728218792946088562047,2.080850803861298828564922607,32,1.3,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,704,2022-04-25T08:15:00+00:00,2022-04-25T08:15:00+00:00,0.958440,0.95666,0.95666,-1.309890661258963477097401376,-1.045303451591997156774611670,1,1.8,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,656,2022-04-25T09:00:00+00:00,2022-04-25T11:45:00+00:00,0.958885,0.95700,0.95700,-1.292121212121212121212121212,-1.044932079414838035527690700,12,1.5,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,858,2022-04-25T20:00:00+00:00,2022-04-26T00:15:00+00:00,0.958870,0.95742,0.95742,-1.299429717365419565081155606,-1.044473689707756261619769798,13,1.4,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,960,2022-04-26T06:15:00+00:00,2022-04-26T10:30:00+00:00,0.959300,0.95799,0.95799,-1.312748567312811198446747878,-1.043852232277998726500276621,18,1.6,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,537,2022-04-28T08:45:00+00:00,2022-04-28T16:30:00+00:00,0.970245,0.97142,0.96795,0.6495388194601717073974182125,0.5270455321139159352956741134,32,1.5,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,694,2022-04-29T10:15:00+00:00,2022-04-29T14:30:00+00:00,0.970410,0.96863,0.96863,-1.275327008248763717828272922,-1.032385947162487224223903865,18,1.2,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,426,2022-04-29T15:15:00+00:00,2022-05-02T00:15:00+00:00,0.972195,0.97305,0.96931,0.3743178665022352397101896100,0.3045686092889685516880982335,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,683,2022-05-02T10:00:00+00:00,2022-05-02T18:00:00+00:00,0.973280,0.97821,0.97145,3.442195438607252021549565022,2.753998702771645522045592030,32,1.6,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,536,2022-05-06T11:45:00+00:00,2022-05-06T19:30:00+00:00,0.984965,0.98748,0.98261,1.365131445700166079312998744,1.081480690259028170701428165,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,498,2022-05-09T13:45:00+00:00,2022-05-09T23:00:00+00:00,0.992650,0.99324,0.99009,0.2958197414522169868309774073,0.2320373222987394788772099392,32,1.8,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,1052,2022-05-10T06:30:00+00:00,2022-05-10T12:45:00+00:00,0.992125,0.99088,0.99088,-1.321794768286775391571128694,-1.009203939932181495236557404,26,1.5,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,558,2022-05-10T14:30:00+00:00,2022-05-11T00:00:00+00:00,0.993425,0.99578,0.99115,1.319658960814637771395288116,1.039551743522500115321822928,32,1.5,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,571,2022-05-11T12:45:00+00:00,2022-05-11T13:15:00+00:00,0.994280,0.99202,0.99202,-1.300840708856676276687970001,-1.008044192657406100683453963,3,2.0,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,687,2022-05-12T01:00:00+00:00,2022-05-12T11:45:00+00:00,0.994390,0.99711,0.99251,1.874056021903300538556428077,1.451001906147062884075403448,32,1.8,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,768,2022-05-13T10:00:00+00:00,2022-05-13T10:45:00+00:00,1.001435,0.99973,0.99973,-1.309793644283956668300441119,-1.000270072919688315845278225,4,1.7,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,498,2022-05-13T15:00:00+00:00,2022-05-16T00:30:00+00:00,1.002110,1.00254,0.99955,0.2135974624453887126698186606,0.1675431902966465178446745267,32,1.4,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,long,1089,2022-05-17T02:45:00+00:00,2022-05-17T05:15:00+00:00,1.002250,1.00103,1.00103,-1.327212970640240552231201862,-0.9989710598083973507287493881,11,1.6,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,524,2022-05-20T09:15:00+00:00,2022-05-20T13:00:00+00:00,0.971885,0.97426,0.97426,-1.277379754890891548457290662,-1.026420052142138648820643360,16,1.7,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,657,2022-05-24T12:00:00+00:00,2022-05-24T19:45:00+00:00,0.964490,0.96115,0.96639,2.283077563335587577381262030,1.828949421882229894561613418,32,1.8,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,1157,2022-05-25T06:00:00+00:00,2022-05-25T06:15:00+00:00,0.961845,0.96296,0.96296,-1.339676622081914098197225222,-1.038464733737642269668522057,2,1.7,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,1052,2022-05-25T06:45:00+00:00,2022-05-25T08:15:00+00:00,0.961860,0.96309,0.96309,-1.343550446998722860791826309,-1.038324559490805636025708916,7,2.0,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,741,2022-05-25T11:45:00+00:00,2022-05-25T19:30:00+00:00,0.962845,0.9619,0.96452,0.7279810791142530408566379041,0.5865257349803638011212261801,32,1.5,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,1249,2022-05-26T06:15:00+00:00,2022-05-26T14:00:00+00:00,0.961870,0.95946,0.96291,3.137275133929502011548162508,2.415220741154078656423725525,32,1.8,time,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,1143,2022-05-27T06:15:00+00:00,2022-05-27T06:30:00+00:00,0.957725,0.95884,0.95884,-1.329152934796212089608276668,-1.042926869967877852404989362,2,1.5,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,879,2022-05-27T08:15:00+00:00,2022-05-27T10:00:00+00:00,0.958245,0.95968,0.95968,-1.314359994998332777592530844,-1.042014004668222740913637880,8,1.7,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,720,2022-05-30T09:00:00+00:00,2022-05-30T10:00:00+00:00,0.956470,0.95821,0.95821,-1.307437826781185752601204329,-1.043612569269784285281931936,5,2.0,stop,next_bar_open,False,False,,False,,,False,False,
USD_CHF,short,792,2022-05-30T14:15:00+00:00,2022-05-31T00:15:00+00:00,0.958765,0.96032,0.96032,-1.282447517494168610463178940,-1.041319560146617794068643785,27,1.3,stop,next_bar_open,False,False,,False,,,False,False,
