instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips,protective_stop_armed,protective_stop_arm_time,protective_stop_arm_mfe_r,protective_stop_exit,thesis_invalidation_exit,zscore_at_exit
EUR_USD,short,1008,2021-06-21T19:00:00+00:00,2021-06-21T19:15:00+00:00,1.190670,1.19198,1.19198,-1.320480,-1,2,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,short,937,2021-06-22T08:00:00+00:00,2021-06-22T15:45:00+00:00,1.190065,1.19109,1.19145,-0.960425,-0.7400722021660649819494584838,32,1.1,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,short,1269,2021-06-24T01:15:00+00:00,2021-06-24T06:30:00+00:00,1.192575,1.19363,1.19363,-1.338795,-1,19,1.5,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,short,816,2021-07-01T14:15:00+00:00,2021-07-02T00:30:00+00:00,1.185900,1.18479,1.18748,0.905760,0.7025316455696202531645569620,32,1.2,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,short,570,2021-07-02T13:45:00+00:00,2021-07-02T17:00:00+00:00,1.182920,1.18517,1.18517,-1.282500,-1,14,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1016,2021-07-30T10:45:00+00:00,2021-07-30T11:45:00+00:00,1.189980,1.18869,1.18869,-1.310640,-1,5,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1224,2021-08-02T02:30:00+00:00,2021-08-02T11:30:00+00:00,1.186775,1.18851,1.18569,2.123640,1.599078341013824884792626728,32,1.5,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1160,2021-08-02T19:00:00+00:00,2021-08-03T05:15:00+00:00,1.187525,1.18763,1.18639,0.121800,0.09251101321585903083700440529,32,1.3,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1592,2021-08-03T06:15:00+00:00,2021-08-03T13:30:00+00:00,1.187700,1.18685,1.18685,-1.353200,-1,30,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,short,1077,2021-08-11T19:00:00+00:00,2021-08-12T06:30:00+00:00,1.173720,1.17383,1.17494,-0.118470,-0.09016393442622950819672131148,32,1.4,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,short,1032,2021-08-12T13:15:00+00:00,2021-08-12T16:15:00+00:00,1.172965,1.17423,1.17423,-1.305480,-1,13,1.3,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1165,2021-08-30T12:00:00+00:00,2021-08-30T12:45:00+00:00,1.180090,1.17896,1.17896,-1.316450,-1,4,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,955,2021-08-30T15:00:00+00:00,2021-08-31T03:00:00+00:00,1.180105,1.18088,1.17875,0.740125,0.5719557195571955719557195572,32,1.3,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,956,2021-08-31T19:00:00+00:00,2021-09-01T00:45:00+00:00,1.181430,1.18007,1.18007,-1.300160,-1,12,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1008,2021-09-01T18:30:00+00:00,2021-09-02T06:30:00+00:00,1.184610,1.18416,1.18333,-0.453600,-0.3515625,32,1.2,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1171,2021-09-02T13:00:00+00:00,2021-09-03T00:30:00+00:00,1.184845,1.1882,1.18373,3.928705,3.008968609865470852017937220,32,1.3,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,563,2021-09-03T15:15:00+00:00,2021-09-06T01:30:00+00:00,1.188835,1.1878,1.18657,-0.582705,-0.4569536423841059602649006623,32,1.3,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1567,2021-09-06T06:30:00+00:00,2021-09-06T07:15:00+00:00,1.187575,1.18672,1.18672,-1.339785,-1,4,1.3,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1247,2021-09-06T11:15:00+00:00,2021-09-06T14:45:00+00:00,1.186760,1.18571,1.18571,-1.309350,-1,15,1.2,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1296,2021-09-06T15:45:00+00:00,2021-09-07T06:45:00+00:00,1.186750,1.18707,1.18574,0.414720,0.3168316831683168316831683168,32,1.2,time,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1449,2021-09-07T07:30:00+00:00,2021-09-07T08:00:00+00:00,1.188025,1.18710,1.18710,-1.340325,-1,3,1.5,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,1181,2021-09-10T11:45:00+00:00,2021-09-10T12:45:00+00:00,1.183840,1.18273,1.18273,-1.310910,-1,5,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,long,965,2021-09-10T14:00:00+00:00,2021-09-10T15:30:00+00:00,1.183640,1.18230,1.18230,-1.293100,-1,7,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,short,993,2021-09-20T17:00:00+00:00,2021-09-21T01:45:00+00:00,1.172120,1.17342,1.17342,-1.290900,-1,26,1.4,stop,next_bar_open,False,False,,False,,,False,False,
EUR_USD,short,1434,2021-09-21T07:00:00+00:00,2021-09-21T10:00:00+00:00,1.173010,1.17392,1.17392,-1.304940,-1,13,1.2,stop,next_bar_open,False,False,,False,,,False,False,
