instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
USD_CAD,short,259,2025-06-12T13:00:00+00:00,2025-06-22T21:00:00+00:00,1.3616200,1.37492,1.37492,-2.505382131324004305705059203,-0.7273150437843656358188112762,39,1.8,stop,next_bar_open,False,False,
USD_CAD,long,240,2025-07-17T09:00:00+00:00,2025-07-22T21:00:00+00:00,1.3745800,1.36017,1.36017,-2.542623348552019232890006396,-0.7352022173698875875809641441,22,1.7,stop,next_bar_open,False,False,
USD_CAD,long,359,2025-08-19T13:00:00+00:00,2025-08-28T09:00:00+00:00,1.3836400,1.37599,1.37396,-1.995908400497096635876714220,-0.5743422962364167671552965711,42,1.7,time,next_bar_open,False,False,
USD_CAD,long,260,2025-10-09T17:00:00+00:00,2025-10-20T13:00:00+00:00,1.4025300,1.40285,1.38910,0.05930783761628114196100794811,0.01698488963178908928375277740,42,1.6,time,next_bar_open,False,False,
