instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
EUR_USD,short,282,2025-01-17T14:00:00+00:00,2025-01-20T10:00:00+00:00,1.0288750,1.03337,1.03337,-1.2675900,-1,10,1.5,stop,next_bar_open,False,False,
EUR_USD,long,475,2025-01-31T14:00:00+00:00,2025-01-31T18:00:00+00:00,1.0383750,1.03568,1.03568,-1.2801250,-1,2,1.5,stop,next_bar_open,False,False,
EUR_USD,long,227,2025-04-30T13:00:00+00:00,2025-04-30T17:00:00+00:00,1.1375050,1.13196,1.13196,-1.2587150,-1,2,1.5,stop,next_bar_open,False,False,
