date,currency,rate,series_id
1995-01-01 00:00:00+00:00,AUD,8.37,IR3TIB01AUM156N
1995-02-01 00:00:00+00:00,AUD,8.08,IR3TIB01AUM156N
1995-03-01 00:00:00+00:00,AUD,8.13,IR3TIB01AUM156N
1995-04-01 00:00:00+00:00,AUD,7.89,IR3TIB01AUM156N
1995-05-01 00:00:00+00:00,AUD,7.7,IR3TIB01AUM156N
1995-06-01 00:00:00+00:00,AUD,7.55,IR3TIB01AUM156N
1995-07-01 00:00:00+00:00,AUD,7.56,IR3TIB01AUM156N
1995-08-01 00:00:00+00:00,AUD,7.58,IR3TIB01AUM156N
1995-09-01 00:00:00+00:00,AUD,7.49,IR3TIB01AUM156N
1995-10-01 00:00:00+00:00,AUD,7.47,IR3TIB01AUM156N
1995-11-01 00:00:00+00:00,AUD,7.46,IR3TIB01AUM156N
1995-12-01 00:00:00+00:00,AUD,7.43,IR3TIB01AUM156N
1996-01-01 00:00:00+00:00,AUD,7.46,IR3TIB01AUM156N
1996-02-01 00:00:00+00:00,AUD,7.47,IR3TIB01AUM156N
1996-03-01 00:00:00+00:00,AUD,7.53,IR3TIB01AUM156N
1996-04-01 00:00:00+00:00,AUD,7.57,IR3TIB01AUM156N
1996-05-01 00:00:00+00:00,AUD,7.55,IR3TIB01AUM156N
1996-06-01 00:00:00+00:00,AUD,7.57,IR3TIB01AUM156N
1996-07-01 00:00:00+00:00,AUD,7.56,IR3TIB01AUM156N
1996-08-01 00:00:00+00:00,AUD,6.92,IR3TIB01AUM156N
1996-09-01 00:00:00+00:00,AUD,6.91,IR3TIB01AUM156N
1996-10-01 00:00:00+00:00,AUD,6.7,IR3TIB01AUM156N
1996-11-01 00:00:00+00:00,AUD,6.45,IR3TIB01AUM156N
1996-12-01 00:00:00+00:00,AUD,6.13,IR3TIB01AUM156N
1997-01-01 00:00:00+00:00,AUD,5.82,IR3TIB01AUM156N
1997-02-01 00:00:00+00:00,AUD,5.91,IR3TIB01AUM156N
1997-03-01 00:00:00+00:00,AUD,6.05,IR3TIB01AUM156N
1997-04-01 00:00:00+00:00,AUD,6.04,IR3TIB01AUM156N
1997-05-01 00:00:00+00:00,AUD,5.87,IR3TIB01AUM156N
1997-06-01 00:00:00+00:00,AUD,5.35,IR3TIB01AUM156N
1997-07-01 00:00:00+00:00,AUD,5.19,IR3TIB01AUM156N
1997-08-01 00:00:00+00:00,AUD,4.9,IR3TIB01AUM156N
1997-09-01 00:00:00+00:00,AUD,4.77,IR3TIB01AUM156N
1997-10-01 00:00:00+00:00,AUD,4.83,IR3TIB01AUM156N
1997-11-01 00:00:00+00:00,AUD,4.95,IR3TIB01AUM156N
1997-12-01 00:00:00+00:00,AUD,5.07,IR3TIB01AUM156N
1998-01-01 00:00:00+00:00,AUD,4.99,IR3TIB01AUM156N
1998-02-01 00:00:00+00:00,AUD,4.97,IR3TIB01AUM156N
1998-03-01 00:00:00+00:00,AUD,4.96,IR3TIB01AUM156N
1998-04-01 00:00:00+00:00,AUD,4.92,IR3TIB01AUM156N
1998-05-01 00:00:00+00:00,AUD,4.96,IR3TIB01AUM156N
1998-06-01 00:00:00+00:00,AUD,5.32,IR3TIB01AUM156N
1998-07-01 00:00:00+00:00,AUD,5.17,IR3TIB01AUM156N
1998-08-01 00:00:00+00:00,AUD,5.19,IR3TIB01AUM156N
1998-09-01 00:00:00+00:00,AUD,5.03,IR3TIB01AUM156N
1998-10-01 00:00:00+00:00,AUD,4.83,IR3TIB01AUM156N
1998-11-01 00:00:00+00:00,AUD,4.88,IR3TIB01AUM156N
1998-12-01 00:00:00+00:00,AUD,4.8,IR3TIB01AUM156N
1999-01-01 00:00:00+00:00,AUD,4.79,IR3TIB01AUM156N
1999-02-01 00:00:00+00:00,AUD,4.77,IR3TIB01AUM156N
1999-03-01 00:00:00+00:00,AUD,4.81,IR3TIB01AUM156N
1999-04-01 00:00:00+00:00,AUD,4.76,IR3TIB01AUM156N
1999-05-01 00:00:00+00:00,AUD,4.86,IR3TIB01AUM156N
1999-06-01 00:00:00+00:00,AUD,4.93,IR3TIB01AUM156N
1999-07-01 00:00:00+00:00,AUD,4.89,IR3TIB01AUM156N
1999-08-01 00:00:00+00:00,AUD,4.92,IR3TIB01AUM156N
1999-09-01 00:00:00+00:00,AUD,5.01,IR3TIB01AUM156N
1999-10-01 00:00:00+00:00,AUD,5.31,IR3TIB01AUM156N
1999-11-01 00:00:00+00:00,AUD,5.44,IR3TIB01AUM156N
1999-12-01 00:00:00+00:00,AUD,5.65,IR3TIB01AUM156N
2000-01-01 00:00:00+00:00,AUD,5.66,IR3TIB01AUM156N
2000-02-01 00:00:00+00:00,AUD,5.8,IR3TIB01AUM156N
2000-03-01 00:00:00+00:00,AUD,5.89,IR3TIB01AUM156N
2000-04-01 00:00:00+00:00,AUD,6.04,IR3TIB01AUM156N
2000-05-01 00:00:00+00:00,AUD,6.31,IR3TIB01AUM156N
2000-06-01 00:00:00+00:00,AUD,6.23,IR3TIB01AUM156N
2000-07-01 00:00:00+00:00,AUD,6.2,IR3TIB01AUM156N
2000-08-01 00:00:00+00:00,AUD,6.49,IR3TIB01AUM156N
2000-09-01 00:00:00+00:00,AUD,6.57,IR3TIB01AUM156N
2000-10-01 00:00:00+00:00,AUD,6.41,IR3TIB01AUM156N
2000-11-01 00:00:00+00:00,AUD,6.33,IR3TIB01AUM156N
2000-12-01 00:00:00+00:00,AUD,6.2,IR3TIB01AUM156N
2001-01-01 00:00:00+00:00,AUD,5.91,IR3TIB01AUM156N
2001-02-01 00:00:00+00:00,AUD,5.59,IR3TIB01AUM156N
2001-03-01 00:00:00+00:00,AUD,5.14,IR3TIB01AUM156N
2001-04-01 00:00:00+00:00,AUD,4.86,IR3TIB01AUM156N
2001-05-01 00:00:00+00:00,AUD,4.89,IR3TIB01AUM156N
2001-06-01 00:00:00+00:00,AUD,4.97,IR3TIB01AUM156N
2001-07-01 00:00:00+00:00,AUD,5.04,IR3TIB01AUM156N
2001-08-01 00:00:00+00:00,AUD,4.95,IR3TIB01AUM156N
2001-09-01 00:00:00+00:00,AUD,4.55,IR3TIB01AUM156N
2001-10-01 00:00:00+00:00,AUD,4.36,IR3TIB01AUM156N
2001-11-01 00:00:00+00:00,AUD,4.28,IR3TIB01AUM156N
2001-12-01 00:00:00+00:00,AUD,4.25,IR3TIB01AUM156N
2002-01-01 00:00:00+00:00,AUD,4.26,IR3TIB01AUM156N
2002-02-01 00:00:00+00:00,AUD,4.31,IR3TIB01AUM156N
2002-03-01 00:00:00+00:00,AUD,4.46,IR3TIB01AUM156N
2002-04-01 00:00:00+00:00,AUD,4.59,IR3TIB01AUM156N
2002-05-01 00:00:00+00:00,AUD,4.84,IR3TIB01AUM156N
2002-06-01 00:00:00+00:00,AUD,5.07,IR3TIB01AUM156N
2002-07-01 00:00:00+00:00,AUD,4.98,IR3TIB01AUM156N
2002-08-01 00:00:00+00:00,AUD,4.96,IR3TIB01AUM156N
2002-09-01 00:00:00+00:00,AUD,4.92,IR3TIB01AUM156N
2002-10-01 00:00:00+00:00,AUD,4.9,IR3TIB01AUM156N
2002-11-01 00:00:00+00:00,AUD,4.84,IR3TIB01AUM156N
2002-12-01 00:00:00+00:00,AUD,4.83,IR3TIB01AUM156N
2003-01-01 00:00:00+00:00,AUD,4.8,IR3TIB01AUM156N
2003-02-01 00:00:00+00:00,AUD,4.75,IR3TIB01AUM156N
2003-03-01 00:00:00+00:00,AUD,4.76,IR3TIB01AUM156N
2003-04-01 00:00:00+00:00,AUD,4.79,IR3TIB01AUM156N
2003-05-01 00:00:00+00:00,AUD,4.78,IR3TIB01AUM156N
2003-06-01 00:00:00+00:00,AUD,4.67,IR3TIB01AUM156N
2003-07-01 00:00:00+00:00,AUD,4.72,IR3TIB01AUM156N
2003-08-01 00:00:00+00:00,AUD,4.82,IR3TIB01AUM156N
2003-09-01 00:00:00+00:00,AUD,4.91,IR3TIB01AUM156N
2003-10-01 00:00:00+00:00,AUD,4.97,IR3TIB01AUM156N
2003-11-01 00:00:00+00:00,AUD,5.31,IR3TIB01AUM156N
2003-12-01 00:00:00+00:00,AUD,5.47,IR3TIB01AUM156N
2004-01-01 00:00:00+00:00,AUD,5.55,IR3TIB01AUM156N
2004-02-01 00:00:00+00:00,AUD,5.57,IR3TIB01AUM156N
2004-03-01 00:00:00+00:00,AUD,5.51,IR3TIB01AUM156N
2004-04-01 00:00:00+00:00,AUD,5.54,IR3TIB01AUM156N
2004-05-01 00:00:00+00:00,AUD,5.51,IR3TIB01AUM156N
2004-06-01 00:00:00+00:00,AUD,5.49,IR3TIB01AUM156N
2004-07-01 00:00:00+00:00,AUD,5.46,IR3TIB01AUM156N
2004-08-01 00:00:00+00:00,AUD,5.44,IR3TIB01AUM156N
2004-09-01 00:00:00+00:00,AUD,5.42,IR3TIB01AUM156N
2004-10-01 00:00:00+00:00,AUD,5.41,IR3TIB01AUM156N
2004-11-01 00:00:00+00:00,AUD,5.43,IR3TIB01AUM156N
2004-12-01 00:00:00+00:00,AUD,5.41,IR3TIB01AUM156N
