pair,horizon_min,n_hivol,obs_mean_ret,uncond_mean_ret,rand_null_mean,rand_z,matched_null_mean,matched_z,volmatched_null_mean,volmatched_z
EUR_USD,5,532,-0.6402255639097303,-0.28010043942247326,0.005078650711626962,-4.651466597847587,0.005258914005816597,-4.783340874457192,-0.000856195120495008,-3.502166840356457
EUR_USD,10,532,-0.8851503759398802,-0.3973023839397971,0.007755265826418114,-4.2724902491655,0.01200847947487616,-5.228607397637748,0.004691355103271542,-3.2850751987366986
EUR_USD,15,532,-1.0951127819548159,-0.5762860727728903,0.01379600215822792,-4.378579922602285,-0.007197093941663493,-4.911745111474842,0.02708118433517862,-3.4485812541620544
EUR_USD,30,532,-1.4958568738229587,-0.7469221105527538,0.021541716285030942,-4.3503875067662925,-0.02875941531667471,-4.662052962540016,0.02770931565767163,-3.100455209062726
EUR_USD,60,532,-1.7773156899810456,-1.1691482649842135,0.009758577055765693,-4.071864472711137,-0.05057032808088103,-3.7120720336642865,0.02876708890323922,-2.7623936148408204
USD_JPY,5,715,-0.28839160839161004,-0.15461753731346323,0.028066776127919347,-1.6509640431320627,0.021876345267503886,-1.728679243313402,-0.015479865721896958,-1.1520339613156396
USD_JPY,10,715,-0.2615384615384204,-0.09034965034964583,0.045183360583137766,-1.184698959950506,0.05126773576604145,-1.2115519411528273,-0.009281725366971565,-0.7334979357572117
USD_JPY,15,715,-0.5585434173669368,-0.20028037383180897,0.061160512019693254,-1.8309072082215598,0.0581086315643301,-1.9317848618762066,-0.003215417482755807,-1.3668958907473845
USD_JPY,30,715,-1.222969187675074,-0.6809078146935083,0.12379623020957159,-2.861126296181137,0.10825474603659298,-2.701156867007001,0.03713048529252585,-2.3215139849836057
USD_JPY,60,715,-2.0936797752808642,-1.1360432330827128,0.22593194496218608,-3.788921110886147,0.16485917925980098,-3.4816168531382203,0.04850091861253768,-2.5813118579268783
GBP_USD,5,528,-0.5462121212121249,-0.3335015772870432,0.011078205963953827,-2.8488457121271855,0.0009421148253462164,-2.83498669002364,-0.002487284749310325,-2.3119050033370456
GBP_USD,10,528,-0.9356060606060668,-0.4780441640378528,-0.0008839778890091743,-3.5634225030580113,0.015360441342625888,-3.6552898772653575,-0.03035415622113928,-2.757135683205061
GBP_USD,15,528,-1.2121212121212173,-0.555015772870645,-0.006612258047724362,-3.9163677122777742,-0.00815992516909865,-4.012728375580208,-0.020050929324971097,-3.0986585539643254
GBP_USD,30,528,-1.444886363636363,-0.6863636363636206,-0.014089098518731802,-3.13074607580753,-0.033171361293467844,-3.0221492232243947,-0.14090267442440793,-2.571950068780761
GBP_USD,60,528,-1.257984790874488,-0.6507604562737456,-0.010237488428996664,-2.0852094006988704,-0.009745673746342552,-1.8700631526378624,-0.1867902353257734,-1.562128946964543
