instrument,trade_count,expectancy_r,profit_factor,win_rate
EUR_USD,170,-0.1839354372694809,0.7129098379842119,0.29411764705882354
GBP_USD,251,0.1167780657962599,1.1987698270941887,0.3665338645418327
USD_JPY,239,0.0007263706489236136,1.1270754978112476,0.4225941422594142
AUD_USD,203,-0.0005306714262952742,0.9951469602412385,0.3497536945812808
USD_CAD,195,-0.04105294641927653,0.9107628166026457,0.3333333333333333
USD_CHF,150,-0.17286229591220215,0.7309210925549978,0.3333333333333333
NZD_USD,230,0.0468035867658137,1.0735621027102773,0.3565217391304348
