condition,horizon_min,currency,year,session,fwd_bp
strongest,60,JPY,2021,new_york,18.719599733207914
strongest,60,USD,2021,new_york,7.310747704172282
strongest,60,USD,2021,new_york,5.9740741326996805
strongest,60,USD,2021,late,-8.025826231856659
strongest,60,USD,2021,asia,-5.741812930304402
strongest,60,NZD,2021,asia,-16.92136421160395
strongest,60,NZD,2021,asia,-14.929794059348467
strongest,60,JPY,2021,london,-1.2821984278410525
strongest,60,USD,2021,london,9.05591565252828
strongest,60,USD,2021,london,18.45993808589741
strongest,60,USD,2021,london,-0.7596401157505817
strongest,60,USD,2021,london,-2.796399875071298
strongest,60,JPY,2021,overlap,11.226578537764098
strongest,60,JPY,2021,overlap,12.853335634117613
strongest,60,JPY,2021,overlap,15.124811280120554
strongest,60,JPY,2021,overlap,21.741678349167515
strongest,60,JPY,2021,new_york,-9.154049083246463
strongest,60,JPY,2021,new_york,-4.44154284148901
strongest,60,JPY,2021,new_york,1.1638389208812328
strongest,60,JPY,2021,asia,29.435802784156806
strongest,60,JPY,2021,asia,10.759718729360657
strongest,60,JPY,2021,asia,-1.9567750050430988
strongest,60,JPY,2021,london,-14.860392395270594
strongest,60,JPY,2021,london,-8.266222672634882
strongest,60,NZD,2021,london,-8.195982174448169
strongest,60,NZD,2021,london,-22.22063369300642
strongest,60,USD,2021,overlap,14.38918770744202
strongest,60,USD,2021,overlap,11.47816571016591
strongest,60,USD,2021,overlap,18.094212744645954
strongest,60,USD,2021,overlap,-21.073188180600333
strongest,60,USD,2021,new_york,0.34507424966245814
strongest,60,JPY,2021,new_york,0.7129368580027773
strongest,60,JPY,2021,new_york,7.437633172706626
strongest,60,NZD,2021,new_york,19.28805226070418
strongest,60,NZD,2021,asia,18.343335863744148
strongest,60,NZD,2021,asia,-33.167639698097325
strongest,60,JPY,2021,asia,-11.202829192455965
strongest,60,JPY,2021,asia,2.581338230109864
strongest,60,JPY,2021,london,-21.522226732821892
strongest,60,EUR,2021,london,-1.040136650198864
strongest,60,GBP,2021,london,12.24538765066896
strongest,60,GBP,2021,london,13.724068615428298
strongest,60,GBP,2021,london,-4.720068614219031
strongest,60,CAD,2021,overlap,13.859345994623183
strongest,60,CAD,2021,overlap,11.617963967958666
strongest,60,CAD,2021,overlap,6.460261542252099
strongest,60,CAD,2021,overlap,11.558125314272415
strongest,60,CAD,2021,new_york,-3.881140133618899
strongest,60,CAD,2021,asia,-13.5721404222236
strongest,60,USD,2021,asia,-11.601208780930294
strongest,60,NZD,2021,asia,-10.647880604810478
strongest,60,USD,2021,london,1.3067839864089326
strongest,60,USD,2021,london,-1.3996446619790603
strongest,60,NZD,2021,london,13.77574482340771
strongest,60,USD,2021,london,5.347495920546841
strongest,60,NZD,2021,overlap,10.184436796909502
strongest,60,NZD,2021,overlap,10.190620279044715
strongest,60,NZD,2021,overlap,13.234619052819863
strongest,60,NZD,2021,overlap,18.102806640554192
strongest,60,NZD,2021,new_york,6.008268841104503
strongest,60,CAD,2021,new_york,9.497871810839886
strongest,60,CAD,2021,new_york,-10.471502643253082
strongest,60,CAD,2021,asia,16.727164424091278
strongest,60,CAD,2021,asia,4.470726974014627
strongest,60,GBP,2021,london,-3.167310999323547
strongest,60,NZD,2021,london,-4.872713415187135
strongest,60,NZD,2021,london,12.307495586600936
strongest,60,NZD,2021,london,-7.025973966579002
strongest,60,AUD,2021,overlap,1.2552054993419937
strongest,60,CAD,2021,overlap,9.127583046808219
strongest,60,AUD,2021,overlap,-4.89817863518871
strongest,60,AUD,2021,overlap,2.4270058163011754
strongest,60,NZD,2021,new_york,-13.16790225895037
strongest,60,USD,2021,asia,0.7073943324642507
strongest,60,USD,2021,asia,-6.098548914172941
strongest,60,NZD,2021,asia,-5.425784844650394
strongest,60,JPY,2021,london,-2.165850988538054
strongest,60,JPY,2021,london,-0.36150592396921866
strongest,60,EUR,2021,london,-2.3222900607100527
strongest,60,CAD,2021,london,-6.996136140557107
strongest,60,CHF,2021,london,5.553829562174872
strongest,60,CHF,2021,overlap,-0.17035852968139142
strongest,60,AUD,2021,overlap,-11.13503145056205
strongest,60,USD,2021,overlap,-2.3483815352887127
strongest,60,USD,2021,new_york,-7.341598178244313
strongest,60,USD,2021,new_york,-3.534546307440989
strongest,60,USD,2021,asia,-6.52891060051175
strongest,60,NZD,2021,london,-2.478697142787034
strongest,60,NZD,2021,london,-5.62090680986671
strongest,60,CHF,2021,london,-1.9055091715904082
strongest,60,JPY,2021,london,3.6255086835268457
strongest,60,CHF,2021,overlap,10.452318751545814
strongest,60,CHF,2021,overlap,-8.345749219665771
strongest,60,CAD,2021,overlap,-10.744986707151849
strongest,60,CAD,2021,overlap,-3.660426358523261
strongest,60,GBP,2021,new_york,-12.359332961404679
strongest,60,USD,2021,asia,-14.520550816845557
strongest,60,GBP,2021,london,-13.90888187865924
strongest,60,JPY,2021,london,-3.5490740283616873
strongest,60,JPY,2021,london,-0.03219461871317719
strongest,60,GBP,2021,london,3.1311998317007372
strongest,60,USD,2021,london,-6.097519322761924
strongest,60,USD,2021,overlap,-6.4083614715038095
strongest,60,USD,2021,overlap,1.0066126993990565
strongest,60,JPY,2021,overlap,10.554489617886631
strongest,60,JPY,2021,new_york,1.0589649017855862
strongest,60,JPY,2021,asia,4.797370303988302
strongest,60,JPY,2021,london,19.492192283836474
strongest,60,JPY,2021,london,2.2908264037546644
strongest,60,JPY,2021,london,5.496526727499784
strongest,60,JPY,2021,london,0.3192753952419025
strongest,60,JPY,2021,overlap,1.7169894100632632
strongest,60,JPY,2021,overlap,17.787490549023843
strongest,60,JPY,2021,overlap,-10.301090174005267
strongest,60,JPY,2021,overlap,-1.4575556024709613
strongest,60,JPY,2021,new_york,-8.308250115289795
strongest,60,NZD,2021,asia,-15.309710929438669
strongest,60,NZD,2021,london,-25.320611183148323
strongest,60,USD,2021,london,-5.7934936067949305
strongest,60,GBP,2021,london,8.902072054006727
strongest,60,GBP,2021,london,-9.621924337994692
strongest,60,GBP,2021,overlap,-12.885870532381993
strongest,60,CAD,2021,overlap,11.626218429192091
strongest,60,CAD,2021,overlap,-4.3614160755323095
strongest,60,USD,2021,overlap,4.287711173265318
strongest,60,USD,2021,new_york,-3.9068270784992087
strongest,60,NZD,2021,new_york,-15.93315408071172
strongest,60,USD,2021,asia,-17.18961410493547
strongest,60,NZD,2021,london,-14.133706181422845
strongest,60,NZD,2021,london,4.180527076056428
strongest,60,USD,2021,london,3.569637877794962
strongest,60,EUR,2021,london,3.2790362092338654
