instrument,split,side,entry_time,exit_time,decision_time,decision_bar_found,hour,session_bucket,reclaim_plus_impulse_score,reclaim_plus_impulse_present,reclaim_plus_micro_swing_break_score,reclaim_plus_micro_swing_break_present,liquidity_sweep_plus_displacement_score,liquidity_sweep_plus_displacement_present,range_expansion_after_compression_score,range_expansion_after_compression_present,reclaim_plus_retest_hold_score,reclaim_plus_retest_hold_present,failed_reclaim_or_trap_score,failed_reclaim_or_trap_present,reclaim_distance_atr,atr_at_entry,atr_percentile,spread_pips,spread_to_atr_pct,result_r,exit_reason,bars_held,mfe_status,mfe_r,mae_r,reached_plus_0_25r,reached_plus_0_5r,reached_plus_1_0r,touched_minus_0_5r,touched_minus_0_9r,profitable_trade,survived_to_time_exit,hard_stop_loss,clean_winner,straight_to_stop
USD_JPY,train,long,2021-10-15T15:45:00+00:00,2021-10-18T01:00:00+00:00,2021-10-15T15:30:00+00:00,True,15,london_ny_overlap,1.307279,True,-1.277341,False,3.09356,True,1.066496,False,2.0,True,3.0,True,0.3526230716718568,0.100208,0.9896,1.3,12.97301612645697,-0.0087639346561032,hard_stop,30,OK,0.27845,-1.242131,True,False,False,True,True,False,False,True,False,False
USD_JPY,train,long,2021-10-18T03:15:00+00:00,2021-10-18T11:00:00+00:00,2021-10-18T03:00:00+00:00,True,3,tokyo,1.372505,True,1.176433,True,3.150227,True,1.636364,True,0.0,False,,False,0.8207928911015216,0.076502,0.6979,1.4,18.30017515881938,0.0008203176269851,time_stop,32,OK,1.15,-0.30625,True,True,True,False,False,True,True,False,True,False
USD_JPY,train,long,2021-10-19T09:30:00+00:00,2021-10-19T17:30:00+00:00,2021-10-19T09:15:00+00:00,True,9,london,1.670864,True,0.591229,True,2.39062,True,2.180488,True,3.0,True,,False,0.649581737004406,0.077804,0.6771,1.2,15.423371549020617,0.0073127317429619,time_stop,32,OK,1.411392,-0.297468,True,True,True,False,False,True,True,False,True,False
USD_JPY,train,long,2021-10-20T09:45:00+00:00,2021-10-20T12:00:00+00:00,2021-10-20T09:30:00+00:00,True,9,london,0.106743,False,-0.076245,False,2.01286,True,0.659847,False,4.0,True,,False,0.11706030174068495,0.065578,0.5312,1.3,19.82372136997164,-0.0087476818643059,hard_stop,10,OK,0.467577,-1.94198,True,False,False,True,True,False,False,True,False,False
USD_JPY,train,long,2021-10-20T14:45:00+00:00,2021-10-20T16:30:00+00:00,2021-10-20T14:30:00+00:00,True,14,london_ny_overlap,1.205944,True,-0.450706,False,2.436251,True,1.158621,False,0.0,False,1.0,True,0.11853074701521915,0.082093,0.9792,1.3,15.835698537025083,-0.0087593286850495,hard_stop,8,OK,-0.04298,-1.240688,False,False,False,True,True,False,False,True,False,True
USD_JPY,train,long,2021-10-20T19:15:00+00:00,2021-10-21T04:00:00+00:00,2021-10-20T19:00:00+00:00,True,19,new_york,1.170398,True,0.379999,True,1.565598,True,2.096386,True,1.0,True,,False,0.6359005876836807,0.06579,0.5833,1.5,22.79981760145919,-0.008760633218569,hard_stop,28,OK,0.820069,-2.134948,True,True,False,True,True,False,False,True,False,False
USD_JPY,validation,long,2024-01-19T12:30:00+00:00,2024-01-19T20:15:00+00:00,2024-01-19T12:15:00+00:00,True,12,london_ny_overlap,0.739579,False,-0.166197,False,1.645355,True,1.250847,False,3.0,True,3.0,True,0.07105809285224049,0.120339,0.625,1.4,11.633801178337864,0.0012754368610393,time_stop,32,OK,1.637795,-0.614173,True,True,True,True,False,True,True,False,False,False
USD_JPY,validation,long,2024-01-22T05:30:00+00:00,2024-01-22T12:15:00+00:00,2024-01-22T05:15:00+00:00,True,5,tokyo,1.28543,True,0.76137,True,1.799602,True,3.082873,True,2.0,True,,False,0.8204626317978069,0.101133,0.2604,1.5,14.831953961614902,-0.0067645725804815,hard_stop,28,OK,1.334152,-1.289926,True,True,True,True,True,False,False,True,False,False
USD_JPY,validation,long,2024-01-25T04:30:00+00:00,2024-01-25T11:30:00+00:00,2024-01-25T04:15:00+00:00,True,4,tokyo,0.484683,False,-1.206323,False,0.0,False,1.019608,False,1.0,True,,False,0.11558713129547592,0.092844,0.0104,1.8,19.387359441644048,-0.0067811321778284,hard_stop,29,OK,0.990385,-0.961538,True,True,False,True,True,False,False,True,False,False
USD_JPY,validation,long,2024-01-25T21:15:00+00:00,2024-01-25T23:15:00+00:00,2024-01-25T21:00:00+00:00,True,21,rollover_late,0.12137,False,-1.19347,False,0.0,False,0.5,False,0.0,False,1.0,True,0.010895182873628296,0.098871,0.4167,1.8,18.20554055284158,-0.0067786499640731,hard_stop,5,OK,-0.20354,-1.088496,False,False,False,True,True,False,False,True,False,True
