instrument,session,count,mean,p90,p95,max,spread_pips_median,spread_to_atr_pct_mean,spread_to_atr_pct_median,spread_to_atr_pct_p90,spread_to_atr_pct_p95
AUD_USD,asian,3316.0,1.3616103739444902,1.4999999999998348,1.60000000000049,14.700000000000824,1.300000000000745,5.359874116107708,5.270697825351565,7.080500533235268,7.656564206145703
AUD_USD,london,2241.0,1.3249442213297407,1.4999999999998348,1.5999999999993797,4.799999999999249,1.2999999999996348,5.253700121681562,5.176539665263035,7.014954137719906,7.5464240645710685
AUD_USD,london_ny_overlap,1658.0,1.3515681544028746,1.4999999999998348,1.60000000000049,6.399999999999739,1.300000000000745,5.1826490671818455,5.081163989898727,6.833344266675619,7.427662851685666
AUD_USD,ny,2734.0,2.560972933430839,4.999999999999449,8.599999999999719,15.000000000000568,1.5999999999993797,9.787634971319827,6.368731686061142,18.525948032839644,31.855565466623933
EUR_USD,asian,3316.0,1.525422195416133,1.7000000000000348,1.80000000000069,5.5000000000005045,1.500000000000945,5.673971169171991,5.528939473565866,7.9407781963090045,8.556202394870041
EUR_USD,london,2241.0,1.4749665327978523,1.7000000000000348,1.7000000000000348,4.299999999999304,1.4999999999987246,5.4003174163923005,5.226743749324466,7.5543704892094405,8.1572728679801
EUR_USD,london_ny_overlap,1658.0,1.4646562123039006,1.6999999999984805,1.7000000000000348,10.000000000001119,1.4999999999987246,5.141853142463867,4.937945260718343,7.2304266544645035,7.8420727171736155
EUR_USD,ny,2734.0,2.28079736649595,3.4999999999985043,5.999999999999339,10.000000000001119,1.7000000000000348,7.993312384200594,6.341435554529012,12.09897845927629,19.118328298234243
GBP_USD,asian,3316.0,1.9371833534378804,2.20000000000109,2.4000000000001798,15.000000000000568,1.8999999999991246,5.324330490118266,5.191403888097468,7.041630701131053,7.6580926799013405
GBP_USD,london,2241.0,1.7960731816153093,2.100000000000435,2.1999999999988695,6.599999999998829,1.7999999999984695,4.85191049548736,4.719633809501566,6.53068130625234,7.040924592437324
GBP_USD,london_ny_overlap,1658.0,1.8028347406514045,2.000000000002,2.1999999999988695,15.000000000000568,1.7999999999984695,4.709004748305605,4.568041605931461,6.198799615093673,6.8886520591363976
GBP_USD,ny,2734.0,3.7825530358449146,6.00000000000156,11.099999999999444,20.199999999999108,2.2999999999995246,9.900057966161313,6.418695288505764,19.39935697995117,27.089263144759673
NZD_USD,asian,3316.0,2.502261761158033,2.7999999999994696,2.9000000000001247,20.90000000000036,2.4000000000001798,10.405772525843284,10.190686592358041,13.425992718012699,14.411332958455404
NZD_USD,london,2241.0,2.4636323070058004,2.6999999999999247,2.80000000000058,8.299999999999974,2.4000000000001798,10.311212318998406,10.146550863791157,13.4044739135892,14.309338272325052
NZD_USD,london_ny_overlap,1658.0,2.5452352231604434,2.7999999999994696,2.9000000000001247,20.90000000000036,2.4000000000001798,10.350603153008086,9.940849765708293,13.352316907969573,14.346227045452355
NZD_USD,ny,2738.0,4.447626004382778,8.929999999999678,15.33000000000036,20.90000000000036,2.80000000000058,17.868506289010742,12.137547449850318,35.206858786475486,57.87856896490537
USD_CAD,asian,3316.0,1.9306996381182302,2.20000000000109,2.3250000000007987,10.000000000001119,1.8999999999991246,6.595054230915624,6.363660234895846,9.170594314858953,9.865874546088452
USD_CAD,london,2241.0,1.8159303882195197,2.0999999999982144,2.100000000000435,8.500000000000174,1.80000000000069,6.232617814203203,6.040879052386734,8.664263391725962,9.380838682474796
USD_CAD,london_ny_overlap,1658.0,1.8284077201447595,2.0999999999982144,2.20000000000109,10.000000000001119,1.80000000000069,5.983731162510828,5.729765654031132,8.290398151157696,9.005237841640312
USD_CAD,ny,2734.0,3.2218727139722225,4.60000000000127,9.40000000000163,20.000000000000018,2.20000000000109,10.438258989150905,7.939565345270739,17.647037750738285,27.04413049967055
USD_CHF,asian,3316.0,1.748462002412569,1.9999999999997797,2.1250000000000435,15.100000000000113,1.7000000000000348,7.366998751042542,7.2228444588552945,9.429802842635212,10.183284029022577
USD_CHF,london,2241.0,1.6667112896028677,1.9000000000002348,1.9999999999997797,9.900000000000464,1.60000000000049,6.976533117112626,6.9117217455407705,8.966305901121746,9.683304704338676
USD_CHF,london_ny_overlap,1658.0,1.6626055488540485,1.80000000000069,1.9000000000002348,15.100000000000113,1.60000000000049,6.6770688671422995,6.566880060054975,8.565440427166585,9.075262622596588
USD_CHF,ny,2734.0,3.166569129480623,5.5000000000005045,9.534999999999895,25.100000000000122,2.100000000000435,12.820027950511978,8.743086102170063,23.299185546369717,35.27533618033425
USD_JPY,asian,3317.0,1.5932167621344886,1.9000000000005457,2.000000000001023,9.999999999999432,1.5999999999991132,4.412571234990856,4.034418791329639,6.723920464399159,7.461644173458053
USD_JPY,london,2241.0,1.569031682284699,1.9000000000005457,1.999999999999602,5.400000000000205,1.5999999999991132,4.31979820322247,4.002430247880468,6.571678842425185,7.273746897751486
USD_JPY,london_ny_overlap,1658.0,1.5424004825091102,1.8000000000000682,1.9000000000005457,9.699999999997999,1.500000000001478,4.1722866812882105,3.716146486648849,6.45843359196647,7.152928663904772
USD_JPY,ny,2734.0,3.1494879297732328,8.600000000001273,9.999999999999432,10.000000000002274,2.000000000001023,9.372682038996965,5.497430457249901,20.31953277720922,39.17782701920259
