instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
EUR_USD,short,142,2023-01-03T10:00:00+00:00,2023-01-09T10:00:00+00:00,1.0546300,1.07227,1.07227,-2.5048800,-1,25,1.4,stop,next_bar_open,False,False,
EUR_USD,long,160,2023-01-23T10:00:00+00:00,2023-02-01T06:00:00+00:00,1.0913050,1.08827,1.07571,-0.4856000,-0.1946136582237896761782622635,42,1.3,time,next_bar_open,False,False,
EUR_USD,short,144,2023-05-11T09:00:00+00:00,2023-05-22T05:00:00+00:00,1.0927300,1.08111,1.11000,1.6732800,0.6728430804863925883034163289,42,1.4,time,next_bar_open,False,False,
EUR_USD,short,141,2023-05-31T09:00:00+00:00,2023-06-09T05:00:00+00:00,1.0660050,1.07642,1.08376,-1.4685150,-0.5865953252604900028161081386,42,1.5,time,next_bar_open,False,False,
