horizon_min,null,obs_bp,null_mean_bp,null_std_bp,z
5,randomized_relationships,0.3923747254014298,0.11905053071335937,0.028825449984846572,9.482044333453803
5,shuffled_timestamps,0.3923747254014298,-0.00017241746848535995,0.002825228640159095,138.94349550690168
5,matched,0.3923747254014298,0.14245948223717952,0.002419831509264893,103.2779522902281
5,unconditional,0.3923747254014298,0.12603642716009877,0.0006152783355337044,432.87449412679877
15,randomized_relationships,0.420690458180879,0.11362545183131312,0.048447207301544414,6.3381363643591735
15,shuffled_timestamps,0.420690458180879,-0.00013980037063729859,0.0028240199263523612,149.01816188495553
15,matched,0.420690458180879,0.14895808797260096,0.002513349715356821,108.11562296642039
15,unconditional,0.420690458180879,0.13346052678024517,0.0006452807230014854,445.1239920272229
30,randomized_relationships,0.4345793888715688,0.08483827231544346,0.09046334293027139,3.866108693614205
30,shuffled_timestamps,0.4345793888715688,3.459528151770475e-05,0.0028180207935584165,154.2021246200017
30,matched,0.4345793888715688,0.14909101578741307,0.0025370515506745336,112.52762010620243
30,unconditional,0.4345793888715688,0.13764923631818152,0.0007044987983337555,421.4771597278396
60,randomized_relationships,0.4529038750091005,0.26290546638642076,0.07379857830094454,2.574553778636248
60,shuffled_timestamps,0.4529038750091005,-6.529198734078569e-05,0.0033765264148130944,134.1524132638883
60,matched,0.4529038750091005,0.15098868274639327,0.0024200809817468438,124.75416919510735
60,unconditional,0.4529038750091005,0.1433241575195046,0.0007536700936130755,410.76290556452693
240,randomized_relationships,0.5073710362326519,0.08118524380066289,0.10934205411840332,3.897729888725932
240,shuffled_timestamps,0.5073710362326519,-0.00035395695354939764,0.0042423301661441894,119.68068804217269
240,matched,0.5073710362326519,0.15285657485617077,0.0026456302827578817,134.00000131799405
240,unconditional,0.5073710362326519,0.14967508180258238,0.0009654015555351936,370.5152041440125
