instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
USD_JPY,short,585,2024-03-27T05:00:00+00:00,2024-03-29T01:00:00+00:00,151.67250,151.297,152.006,1.451895939774086730073960488,0.007441899254342504286697474278,12,1.9,time,next_bar_open,False,False,
USD_JPY,short,567,2024-04-03T17:00:00+00:00,2024-04-05T13:00:00+00:00,151.63250,151.588,151.975,0.1664478718632081695120985830,0.0008571061515375232405777550329,12,1.5,time,next_bar_open,False,False,
USD_JPY,long,437,2024-05-30T09:00:00+00:00,2024-05-30T13:00:00+00:00,156.96150,156.504,156.504,-1.277459362061033583806164699,-0.006389613045033992741399580843,2,1.5,stop,next_bar_open,False,False,
USD_JPY,long,532,2024-05-30T17:00:00+00:00,2024-06-03T13:00:00+00:00,156.71400,156.339,156.339,-1.276073148734480839713699077,-0.006396356635260555587537338732,12,1.4,stop,next_bar_open,False,False,
USD_JPY,short,237,2024-06-14T09:00:00+00:00,2024-06-18T05:00:00+00:00,157.47350,158.159,158.312,-1.027216282348775599238740761,-0.005169047009044056466307580399,12,1.9,time,next_bar_open,False,False,
USD_JPY,short,190,2024-08-12T17:00:00+00:00,2024-08-14T13:00:00+00:00,147.34150,146.956,148.313,0.4984144914123955469664389341,0.002700189568016878657347232625,12,1.5,time,next_bar_open,False,False,
USD_JPY,long,184,2024-08-19T09:00:00+00:00,2024-08-20T21:00:00+00:00,146.10800,145.109,145.109,-1.266744309450137482857713856,-0.006891371313977768436141107716,10,2.0,stop,next_bar_open,False,False,
USD_JPY,short,206,2024-09-19T05:00:00+00:00,2024-09-20T09:00:00+00:00,143.16050,144.031,144.031,-1.245030583693788142830362908,-0.006942949781644229367288986399,8,1.7,stop,next_bar_open,False,False,
USD_JPY,short,206,2024-09-20T13:00:00+00:00,2024-09-24T05:00:00+00:00,143.6500,144.522,144.522,-1.242938791325888100081648469,-0.006919361758071435490790329501,11,2,stop,next_bar_open,False,False,
