instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
USD_CHF,long,130,2023-01-03T10:00:00+00:00,2023-01-09T10:00:00+00:00,0.9373800,0.91917,0.91917,-2.575475700904076503802343419,-1.087938031049751406159905132,25,2.0,stop,next_bar_open,False,False,
USD_CHF,short,173,2023-03-06T18:00:00+00:00,2023-03-15T13:00:00+00:00,0.9312700,0.92803,0.94478,0.6039890951801127118735385710,0.2584209064491353918414270615,42,1.9,time,next_bar_open,False,False,
USD_CHF,short,133,2023-04-04T17:00:00+00:00,2023-04-13T13:00:00+00:00,0.9060600,0.88756,0.92315,2.772206949389337058903060075,1.219640800093858281852844549,42,1.7,time,next_bar_open,False,False,
USD_CHF,short,190,2023-04-24T09:00:00+00:00,2023-05-03T05:00:00+00:00,0.8890400,0.88792,0.90090,0.2396612307415082439859446797,0.1063553877436355036770855950,42,1.7,time,next_bar_open,False,False,
