instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
GBP_USD,short,63,2022-12-21T18:00:00+00:00,2023-01-02T14:00:00+00:00,1.2065400,1.20524,1.24625,0.0819000,0.03273734575673633845378997734,42,1.9,time,next_bar_open,False,False,
GBP_USD,short,116,2023-01-03T10:00:00+00:00,2023-01-09T02:00:00+00:00,1.1920600,1.21378,1.21378,-2.5195200,-1,23,2.3,stop,next_bar_open,False,False,
GBP_USD,long,87,2023-01-18T10:00:00+00:00,2023-01-27T06:00:00+00:00,1.2362000,1.23698,1.20759,0.0678600,0.02726319468717231737154840965,42,2.1,time,next_bar_open,False,False,
GBP_USD,short,114,2023-02-02T18:00:00+00:00,2023-02-13T14:00:00+00:00,1.2242000,1.21364,1.24608,1.2038400,0.4826325411334552102376599634,42,1.7,time,next_bar_open,False,False,
GBP_USD,long,125,2023-03-30T09:00:00+00:00,2023-04-10T05:00:00+00:00,1.2358300,1.24279,1.21585,0.8700000,0.3483483483483483483483483483,42,1.7,time,next_bar_open,False,False,
GBP_USD,long,114,2023-05-04T17:00:00+00:00,2023-05-15T13:00:00+00:00,1.2597900,1.25325,1.23773,-0.7455600,-0.2964641885766092475067996374,42,1.6,time,next_bar_open,False,False,
GBP_USD,short,141,2023-05-23T13:00:00+00:00,2023-06-01T09:00:00+00:00,1.2377300,1.24852,1.25552,-1.5213900,-0.6065205171444631815626756605,42,1.4,time,next_bar_open,False,False,
GBP_USD,long,133,2023-06-01T13:00:00+00:00,2023-06-12T09:00:00+00:00,1.2486800,1.25505,1.22986,0.8472100,0.3384697130712008501594048884,42,1.5,time,next_bar_open,False,False,
