state,horizon_min,n,obs_mean_ret,rand_null_mean,rand_null_std,rand_z,matched_null_mean,matched_null_std,matched_z
A3_breakout_long,5,5675,-0.07132275132276351,0.0002476822429157902,0.0425854730431298,-1.6806302349440632,-0.004967295539984705,0.04280419876738832,-1.5502090377482718
A3_breakout_long,10,5675,-0.10871867278503036,-0.0010563762364681512,0.05554654218363521,-1.9382357985963172,-0.00439997203043796,0.06491940942217272,-1.6068954059055742
A3_breakout_long,15,5675,-0.21101889457885148,0.0016176991176532957,0.062458769245045516,-3.4044313755569555,-0.006185970054762885,0.07915761765064606,-2.5876590352693216
A3_breakout_long,30,5675,-0.33728543620598006,-0.0036728935313673082,0.10212991578372571,-3.266550648891983,-0.009394005097325664,0.11148178729701895,-2.941210748936587
A3_breakout_long,60,5675,-0.37537750932670916,0.01087819686188614,0.14667752327676578,-2.6333667051342933,-0.0062556524476823526,0.15836064738851008,-2.3308938361021667
A3_breakout_short,5,5756,-0.07027449617791229,-0.003765023776122543,0.040936443937474545,-1.624700780150198,0.004221734052570158,0.042341750818851,-1.7594036332884926
A3_breakout_short,10,5756,-0.16413289267700912,-0.004591627798659662,0.0592224471327841,-2.693932328068749,0.004133891867110578,0.056808784033565714,-2.961985323338351
A3_breakout_short,15,5756,-0.10060911938741543,-0.004334712507036547,0.0722381651227953,-1.332736050489726,0.0080650481900325,0.07631591592393493,-1.424003974292399
A3_breakout_short,30,5756,-0.19638743455499266,-0.008597691731483498,0.09749225551883832,-1.9262016436497642,0.013553716932945537,0.10812378206696825,-1.9416741393480639
A3_breakout_short,60,5756,-0.36334326265990785,0.006930511974054767,0.14874419213969223,-2.4893326543212,0.027962352208464217,0.13882018280298888,-2.8187948392468694
A1_trend_cont_long,5,6259,-0.04722621902477788,-0.0009693846717718439,0.035647633316241906,-1.2976130544949902,0.0007868970453773636,0.04054730667339963,-1.1841259015522585
A1_trend_cont_long,10,6259,-0.04219449776070282,-0.002692208555372878,0.05120908130199478,-0.771392264828449,-0.0021748525799248704,0.06076307547332348,-0.6586178344173441
A1_trend_cont_long,15,6259,-0.12397117694155063,0.0012067647035774033,0.07008536552586703,-1.7860781734658642,-0.0042276073067388205,0.07219938465664692,-1.658512329492379
A1_trend_cont_long,30,6259,-0.29129109863672353,-0.0013324585575241663,0.09551352654247831,-3.0357861401991504,-0.014087404159623224,0.10106308882095384,-2.7428777183745296
A1_trend_cont_long,60,6259,-0.437773840206181,0.002765737979564658,0.13569730952587727,-3.246487198051155,-0.019856336458394158,0.14841205790975484,-2.815926883797478
C1_trend_cont_long,5,1594,-0.2806532663316579,-0.008394055524164295,0.07374219489853764,-3.6920410516949866,-0.005644820159430526,0.08540436372449932,-3.220074878835936
C1_trend_cont_long,10,1594,-0.3983050847457851,-0.011635482467368181,0.0993075621363157,-3.8936571793762322,-0.003514905524629063,0.11195464563684707,-3.526340304820908
C1_trend_cont_long,15,1594,-0.5772128060263568,-0.00971906607895186,0.13313464757145313,-4.262554866815057,-0.022122926434168765,0.14587597891465665,-3.8052178550722053
C1_trend_cont_long,30,1594,-0.7450031426775511,-0.00845104529600913,0.17425425039667355,-4.226881672641269,-0.013950133878724126,0.20541450400134398,-3.55891621359923
C1_trend_cont_long,60,1594,-1.1671085858585724,-0.039679500573030484,0.2635561527003037,-4.277756651606498,-0.0339117208468467,0.2773576961863551,-4.0856874735876705
