state,horizon_min,n,obs_mean_ret,rand_null_mean,rand_null_std,rand_z,matched_null_mean,matched_null_std,matched_z
A3_breakout_long,5,6395,0.02981687275006339,0.019154699819826145,0.06411210764931935,0.16630513831423605,0.016702488377280077,0.07029358687049082,0.18656587260151208
A3_breakout_long,10,6395,-0.03930472909489249,0.04061040023321119,0.09453044613506474,-0.8453903752228277,0.03828704735494057,0.09247110308208335,-0.8390921473160925
A3_breakout_long,15,6395,0.015021929824587934,0.055028143129291926,0.10537813959241223,-0.3796443309726512,0.05492111113525447,0.1162648140000148,-0.3431750323933899
A3_breakout_long,30,6395,0.13504555450833478,0.10035453146318087,0.16503962430135585,0.21019814600286213,0.09080218052168984,0.15577878754575597,0.2840141118292476
A3_breakout_long,60,6395,0.40339491552187534,0.1612364216078163,0.22106386986024715,1.0954232098947132,0.1833470973169385,0.23848598496725074,0.9226865814993453
A3_breakout_short,5,4880,-0.20414189050647702,-0.01099040540560336,0.08010993864561355,-2.4110801776459696,-0.008341872346369888,0.0843443500300982,-2.3214360901499163
A3_breakout_short,10,4880,-0.11375205254513472,-0.03031828445870672,0.10566685371941555,-0.7895926219964438,-0.0309924910117056,0.1166513689533515,-0.7094606970838413
A3_breakout_short,15,4880,-0.0636139630389878,-0.047648194826419556,0.12091173690695682,-0.13204481732699042,-0.05179842934200985,0.13412691903644397,-0.08809218747332528
A3_breakout_short,30,4880,-0.055827338129498034,-0.09207539967852268,0.15854078682884026,0.22863555980807546,-0.0780445339422257,0.18845771807473796,0.11788955124627393
A3_breakout_short,60,4880,0.17523711340205678,-0.1750095867944898,0.24941420513998003,1.4042772744237875,-0.16170323578282492,0.2581054009364517,1.3054370344921222
A1_trend_cont_long,5,6673,-0.024081571449980486,0.015101358808612773,0.06208615990141112,-0.6311057137502668,0.0041417251179005354,0.0623405164009799,-0.4527279881088279
A1_trend_cont_long,10,6673,-0.09809509524522375,0.030718751068576598,0.07957681206551885,-1.618735947951052,0.020873367923181636,0.0806092419069127,-1.4758662946587415
A1_trend_cont_long,15,6673,-0.10054070291378839,0.04783685047387596,0.10278292609276388,-1.4436011799639787,0.03340551824540947,0.10693180200414529,-1.2526322258555536
A1_trend_cont_long,30,6673,-0.10332330827067535,0.09001100077241542,0.1616962941759018,-1.1956632032195582,0.08145494438231328,0.14743236249050845,-1.2533086327290217
A1_trend_cont_long,60,6673,0.07031108426458196,0.18419024834633596,0.23237283100364978,-0.4900709071275434,0.15547202849881675,0.22032215691774534,-0.3865291871939535
C1_trend_cont_long,5,2144,-0.15338310779284461,0.010144532080622146,0.11756189354117856,-1.3909918847656848,0.008276450520929166,0.11000459520770021,-1.4695709575453968
C1_trend_cont_long,10,2144,-0.08917910447760759,0.02395770217404687,0.1617085792816954,-0.6996339164823828,0.021343825780358906,0.16026926414178408,-0.6896077725807183
C1_trend_cont_long,15,2144,-0.19864422627399347,0.046695877822139964,0.19140378845641123,-1.2817933546388776,0.043571116996958266,0.19329507440717125,-1.2530859568657768
C1_trend_cont_long,30,2144,-0.6815074906367168,0.10113199650488068,0.2830795893383917,-2.7647330172082265,0.09788366087888135,0.2631227201240528,-2.962082298131243
C1_trend_cont_long,60,2144,-1.1365773389750882,0.19223779816871642,0.40287892399498193,-3.2982989627929897,0.19165753141065378,0.4154026405153176,-3.197463715536407
