state,horizon_min,n,mean_ret,median_ret,std_ret,t_stat,hit_rate,p_pos,p_neg,mean_mfe,mean_mae,mfe_mae,mean_spread,mean_vol
A1_trend_cont_long,5,6669,-0.024081571449980486,0.0,4.5947443388980735,-0.4280099161533358,0.4907782276203329,0.4907782276203329,0.4832808517019043,2.1058629479682214,2.1371869845553766,0.9853433336373832,1.822883260902147,10.07677301921252
A1_trend_cont_long,10,6667,-0.09809509524522375,0.0,6.449988380312555,-1.2418055271340114,0.48837558122093894,0.48837558122093894,0.4943752812359382,3.2431528423578926,3.359082045897679,0.9654878321053914,1.822883260902147,10.07677301921252
A1_trend_cont_long,15,6658,-0.10054070291378839,0.0,8.228330850145785,-0.9970158598760981,0.4969960949234004,0.4969960949234004,0.4900871132472214,4.1348903574647,4.311309702613372,0.9590798719373529,1.822883260902147,10.07677301921252
A1_trend_cont_long,30,6650,-0.10332330827067535,0.10000000000047748,11.593900231071428,-0.7267408408967859,0.502406015037594,0.502406015037594,0.48947368421052634,6.242887218045121,6.442902255639072,0.9689557547735743,1.822883260902147,10.07677301921252
A1_trend_cont_long,60,6622,0.07031108426458196,0.20000000000095497,16.946900748276445,0.3376199470861896,0.5069465418302628,0.5069465418302628,0.4856538810027182,9.391800060404707,9.706946541830249,0.9675339222208057,1.822883260902147,10.07677301921252
A1_trend_cont_short,5,5651,-0.07825163687842175,-0.1999999999981128,6.2373340278153835,-0.9430985609098032,0.46469651389134664,0.46469651389134664,0.5142452663245444,2.5413024243496705,2.6347549106352646,0.9645308617099941,1.8238373121131914,11.277717375193717
A1_trend_cont_short,10,5650,-0.20316814159292262,-0.2999999999985903,8.585528930029117,-1.7787412471040847,0.4633628318584071,0.4633628318584071,0.5212389380530974,3.922867256637173,4.032920353982298,0.972711313964717,1.8238373121131914,11.277717375193717
A1_trend_cont_short,15,5643,-0.09790891369835802,-0.39999999999906777,11.008968946146144,-0.6680832917916837,0.46482367534999114,0.46482367534999114,0.5257841573631047,5.1234449760765655,5.0972886762360305,1.0051314142678396,1.8238373121131914,11.277717375193717
A1_trend_cont_short,30,5629,0.038124000710632315,-0.40000000000048885,14.816732354808568,0.19304637784837403,0.47219754841001954,0.47219754841001954,0.5206963936756085,7.794261858234153,7.524356013501494,1.0358709561653312,1.8238373121131914,11.277717375193717
A1_trend_cont_short,60,5605,0.28231935771632344,-0.5000000000009663,20.081895043502456,1.0525040431801775,0.47546833184656556,0.47546833184656556,0.5184656556645852,11.585744870651203,10.920999107939332,1.0608685850206336,1.8238373121131914,11.277717375193717
A2_pullback_long,5,6790,0.11113402061855952,0.10000000000047748,4.2156376580946056,2.172294178465826,0.509720176730486,0.509720176730486,0.4634756995581738,2.0362592047128114,1.9856111929307827,1.025507517263373,1.850639799970593,10.101000515085403
A2_pullback_long,10,6779,0.15127599940993716,0.20000000000095497,6.081370102904826,2.0481012047392615,0.5171854255789939,0.5171854255789939,0.4662929635639475,3.177976102670008,3.1125829768402338,1.0210092795328973,1.850639799970593,10.101000515085403
A2_pullback_long,15,6774,0.267581930912336,0.20000000000095497,7.565042352126149,2.9111730073652877,0.5134337171538235,0.5134337171538235,0.4734278122232064,4.119707705934457,3.954192500738107,1.0418581556576858,1.850639799970593,10.101000515085403
A2_pullback_long,30,6760,0.35903846153846447,0.39999999999906777,10.511360692955005,2.808376842919781,0.5220414201183432,0.5220414201183432,0.46671597633136097,6.176346153846159,5.973520710059139,1.0339540873182997,1.850639799970593,10.101000515085403
A2_pullback_long,60,6728,0.5374405469679177,0.6000000000000227,16.224559226493096,2.7170680320552916,0.5279429250891795,0.5279429250891795,0.46730083234244946,9.38327883472059,9.018475029726488,1.0404507196384802,1.850639799970593,10.101000515085403
A2_pullback_short,5,5473,0.10358121688289433,0.0,5.1933410504326565,1.4755260761835185,0.4836469943358304,0.4836469943358304,0.49479261830805776,2.41328339119314,2.3169376941348285,1.041583205842006,1.789463111760418,11.918647415119391
A2_pullback_short,10,5470,0.030712979890332993,-0.09999999999763531,6.772440471465684,0.33540568712197266,0.4851919561243144,0.4851919561243144,0.5001828153564899,3.6574405850091587,3.581316270566722,1.021255959734154,1.789463111760418,11.918647415119391
A2_pullback_short,15,5462,0.06266935188577724,-0.10000000000047748,8.630684988005154,0.5366433915946152,0.48370560234346394,0.48370560234346394,0.502563163676309,4.779165140974014,4.612431343830106,1.036148786770982,1.789463111760418,11.918647415119391
A2_pullback_short,30,5446,-0.07104296731546009,-0.20000000000095497,12.950124168267402,-0.40484238871213496,0.48218876239441794,0.48218876239441794,0.5099155343371282,7.187275064267366,7.086650752846117,1.0141991350964823,1.789463111760418,11.918647415119391
A2_pullback_short,60,5421,0.013373916251633125,-0.39999999999906777,18.30787613256758,0.053784896534755086,0.48367459878251245,0.48367459878251245,0.5100534956650065,10.95395683453239,10.517210846707224,1.0415267882512695,1.789463111760418,11.918647415119391
A3_breakout_long,5,6389,0.02981687275006339,0.0,5.225554499938906,0.45608538356128436,0.48066990139301924,0.48066990139301924,0.4971043981843794,2.285506339020213,2.230662075442154,1.0245865405530723,1.7397810789679513,10.167811073284257
A3_breakout_long,10,6386,-0.03930472909489249,-0.10000000000047748,7.150536114230041,-0.4392589913212645,0.47964296899467584,0.47964296899467584,0.5036016285624805,3.485092389602268,3.4424835577826296,1.0123773523110402,1.7397810789679513,10.167811073284257
A3_breakout_long,15,6384,0.015021929824587934,-0.09999999999763531,8.795491038214454,0.1364621085649126,0.48637218045112784,0.48637218045112784,0.5010964912280702,4.458897243107787,4.400375939849604,1.0132991599031838,1.7397810789679513,10.167811073284257
A3_breakout_long,30,6366,0.13504555450833478,0.0,12.027998832109622,0.8958189234729964,0.49717247879359094,0.49717247879359094,0.49355953502984606,6.682359409362245,6.566509582155182,1.017642527701763,1.7397810789679513,10.167811073284257
A3_breakout_long,60,6333,0.40339491552187534,0.10000000000047748,16.98599222696481,1.8899235772044747,0.5024474972366967,0.5024474972366967,0.4918679930522659,9.959182062213806,9.821190588978348,1.0140503813651998,1.7397810789679513,10.167811073284257
A3_breakout_short,5,4877,-0.20414189050647702,-0.20000000000095497,6.78165316074633,-2.1021946940158664,0.45232725035882715,0.45232725035882715,0.5283986057002256,2.9758868156653775,3.057186795160968,0.9734069309653322,1.793442622950825,11.614834799893693
A3_breakout_short,10,4872,-0.11375205254513472,-0.39999999999906777,9.224155343496824,-0.8607683173364921,0.4628489326765189,0.4628489326765189,0.5268883415435139,4.564634646962257,4.557902298850591,1.0014770716154586,1.793442622950825,11.614834799893693
A3_breakout_short,15,4870,-0.0636139630389878,-0.49999999999954525,11.766729174414081,-0.37727773408084947,0.46324435318275153,0.46324435318275153,0.5273100616016427,5.87581108829571,5.720944558521562,1.0270700979864362,1.793442622950825,11.614834799893693
A3_breakout_short,30,4865,-0.055827338129498034,-0.9000000000000341,16.326507756694113,-0.23850365799185191,0.4501541623843782,0.4501541623843782,0.5436793422404933,8.805179856115116,8.412353545734831,1.0466963624679626,1.793442622950825,11.614834799893693
A3_breakout_short,60,4850,0.17523711340205678,-0.9000000000000341,21.275180686795313,0.5736192307761889,0.468659793814433,0.468659793814433,0.5270103092783505,13.222061855670095,12.27327835051545,1.0773048144153592,1.793442622950825,11.614834799893693
A4_compression_long,5,3341,-0.023316372343560248,0.0,3.995973034867427,-0.337269191034905,0.48997306195749774,0.48997306195749774,0.48129302604010776,1.7512122119126234,1.821281053576744,0.9615277161498412,1.7526189763543993,10.328399137519357
A4_compression_long,10,3340,-0.05586826347303431,0.0,5.69391038288703,-0.5670583874596675,0.49580838323353293,0.49580838323353293,0.4865269461077844,2.716137724550918,2.8601796407185383,0.9496388569036056,1.7526189763543993,10.328399137519357
A4_compression_long,15,3335,-0.06203898050973157,0.0999999999990564,7.502951111756129,-0.47750778327599297,0.5031484257871065,0.5031484257871065,0.48305847076461766,3.539400299850095,3.736311844077932,0.9472978829269986,1.7526189763543993,10.328399137519357
A4_compression_long,30,3331,-0.09243470429297931,0.0,9.906584235627438,-0.5385157825012776,0.4980486340438307,0.4980486340438307,0.49174422095466824,5.348694085860111,5.641549084359014,0.9480896126011147,1.7526189763543993,10.328399137519357
A4_compression_long,60,3319,0.22675504670081642,0.39999999999906777,14.977345602593774,0.8722193888493996,0.5173244953299186,0.5173244953299186,0.4721301596866526,8.39123229888523,8.660078336848418,0.9689557036892779,1.7526189763543993,10.328399137519357
A4_compression_short,5,2456,-0.005578175895748132,-0.10000000000047748,4.120371801139929,-0.0670918827945497,0.4714983713355049,0.4714983713355049,0.5036644951140065,1.9948697068403871,1.9614820846905114,1.0170216299248758,1.7621742671009841,11.672206952311058
A4_compression_short,10,2456,0.038029315960926416,-0.20000000000095497,6.025571038404137,0.3127767654123047,0.46213355048859933,0.46213355048859933,0.5187296416938111,3.17992671009772,3.096986970684028,1.0267807840971876,1.7621742671009841,11.672206952311058
A4_compression_short,15,2453,-0.034610680798999746,-0.2999999999985903,7.914931362942903,-0.2165767154687103,0.465552384834896,0.465552384834896,0.5197717081125153,4.160986547085204,4.055849979616757,1.0259222032365165,1.7621742671009841,11.672206952311058
A4_compression_short,30,2447,-0.33404168369430126,-0.6000000000000227,11.877718380217889,-1.3911841618326775,0.46587658357172046,0.46587658357172046,0.5292194523906825,6.41606048222311,6.3788720882713035,1.0058299325393567,1.7621742671009841,11.672206952311058
A4_compression_short,60,2440,0.007868852459019022,-0.49999999999954525,17.08801359604091,0.022746508030404716,0.47581967213114756,0.47581967213114756,0.5192622950819672,9.918934426229493,9.554385245901603,1.0381551686419872,1.7621742671009841,11.672206952311058
B1_trend_cont_long,5,2690,-0.12423791821564503,0.0,4.592677717382609,-1.403021527906335,0.48921933085501856,0.48921933085501856,0.49070631970260226,2.1530483271375265,2.2989591078067053,0.9365318068626356,1.721181716833919,21.345186119686268
B1_trend_cont_long,10,2691,-0.03704942400594838,0.0,6.324602230389612,-0.30388208152175694,0.4927536231884058,0.4927536231884058,0.4901523597175771,3.3080267558528185,3.4592344853214443,0.9562886730835262,1.721181716833919,21.345186119686268
B1_trend_cont_long,15,2686,-0.1503350707371904,-0.10000000000047748,7.909775549022617,-0.9850293035634615,0.4851079672375279,0.4851079672375279,0.5029784065524944,4.216827997021557,4.3921444527178055,0.960084087036854,1.721181716833919,21.345186119686268
B1_trend_cont_long,30,2683,-0.2931792769288126,0.10000000000047748,11.008463715292216,-1.3794847076470051,0.5005590756615729,0.5005590756615729,0.49235929929183747,6.116548639582545,6.597800969064462,0.9270586773171249,1.721181716833919,21.345186119686268
B1_trend_cont_long,60,2669,-0.5530161109029703,0.0,15.433504512969153,-1.8511751738810944,0.494941925814912,0.494941925814912,0.49943799175721243,8.863769201948253,9.831022855001889,0.901612104119816,1.721181716833919,21.345186119686268
B1_trend_cont_short,5,2020,0.03331683168318881,-0.10000000000047748,7.312954973158213,0.20476064083272236,0.4777227722772277,0.4777227722772277,0.5054455445544555,3.019603960396016,3.010396039603945,1.00305870744943,1.7818811881188226,25.590417202503293
B1_trend_cont_short,10,2019,-0.024962852897474238,-0.10000000000047748,9.205923618469024,-0.1218414362443488,0.48588410104011887,0.48588410104011887,0.5047052996532937,4.596087171867252,4.435116394254597,1.0362946004801998,1.7818811881188226,25.590417202503293
B1_trend_cont_short,15,2018,0.05109018830523189,-0.10000000000047748,10.759996392226446,0.21329759497754716,0.4905847373637265,0.4905847373637265,0.5014866204162537,5.802775024776994,5.434192269573843,1.0678265944447447,1.7818811881188226,25.590417202503293
B1_trend_cont_short,30,2018,-0.277254707631342,-0.3999999999997783,15.172529288583704,-0.8208834982897772,0.4757185332011893,0.4757185332011893,0.5158572844400396,8.339890981169457,8.161397423191302,1.021870465157223,1.7818811881188226,25.590417202503293
B1_trend_cont_short,60,2014,0.03167825223431735,-0.549999999999784,22.311120096134026,0.06371909100589289,0.484111221449851,0.484111221449851,0.5139026812313804,12.418718967229392,11.952234359483624,1.0390290713615091,1.7818811881188226,25.590417202503293
B2_pullback_long,5,3321,-0.0849744052996433,0.09999999999763531,6.461525618623498,-0.7578574095731105,0.5001505570611262,0.5001505570611262,0.47726588376994883,2.003794037940345,2.1971695272508267,0.911988817015663,1.8092715231787933,21.099318931629565
B2_pullback_long,10,3321,-0.0031616982836466276,0.1999999999981128,7.7932724463051635,-0.023379488329012724,0.5097862089732008,0.5097862089732008,0.47244805781391147,3.1038241493525995,3.284071062932851,0.9451147949827611,1.8092715231787933,21.099318931629565
B2_pullback_long,15,3314,-0.11345805672905039,0.30000000000001137,10.317272664523728,-0.6330626402228625,0.5220277610138805,0.5220277610138805,0.464091732045866,3.9729028364514174,4.300995775497887,0.9237169817939453,1.8092715231787933,21.099318931629565
B2_pullback_long,30,3311,-0.024826336454252956,0.6000000000000227,12.567566265406764,-0.11366873932053834,0.5324675324675324,0.5324675324675324,0.4614919963757173,6.006644518272418,6.363334340078519,0.9439460819213061,1.8092715231787933,21.099318931629565
B2_pullback_long,60,3301,-0.204362314450172,0.49999999999954525,17.976968069294795,-0.6531412719400786,0.5283247500757347,0.5283247500757347,0.4659194183580733,8.891487428052095,9.347016055740683,0.9512648074024849,1.8092715231787933,21.099318931629565
B2_pullback_short,5,2487,-0.025653397667875437,-0.09999999999763531,6.02155832383251,-0.2124583913603318,0.4825090470446321,0.4825090470446321,0.5002010454362686,2.5205870526738776,2.5757137112987705,0.97859752099658,1.789103337354261,26.54383768326612
B2_pullback_short,10,2487,-0.14748693204667193,-0.2999999999985903,7.934279066774937,-0.927009026145652,0.4704463208685163,0.4704463208685163,0.5186972255729795,3.894652191395226,3.977161238439908,0.9792542866386159,1.789103337354261,26.54383768326612
B2_pullback_short,15,2480,-0.04745967741940554,-0.10000000000047748,9.334345485668095,-0.2532017781993383,0.49032258064516127,0.49032258064516127,0.5016129032258064,4.932298387096774,5.009274193548408,0.9846333413829146,1.789103337354261,26.54383768326612
B2_pullback_short,30,2477,-0.0389180460234343,-0.20000000000095497,12.796516847054454,-0.15136388212817306,0.48284214775938633,0.48284214775938633,0.5078724263221639,7.475575292692759,7.515421881308048,0.9946980237111648,1.789103337354261,26.54383768326612
B2_pullback_short,60,2466,0.04339010543387024,-0.5000000000002558,19.008722640232094,0.11335333644753481,0.47769667477696676,0.47769667477696676,0.5182481751824818,11.327818329278175,11.25032441200326,1.0068881495712456,1.789103337354261,26.54383768326612
B3_breakout_long,5,2909,0.11986937091784003,0.0,4.916627864351788,1.3149606251683355,0.4936404262633207,0.4936404262633207,0.48642145067033343,2.4806462701959315,2.326744585768293,1.0661446406146122,1.728831615120264,21.17656540501864
B3_breakout_long,10,2910,0.33092783505152035,0.10000000000047748,6.781698839713871,2.632335815552868,0.5054982817869416,0.5054982817869416,0.48213058419243987,3.7907216494845053,3.5140549828178513,1.0787314563999224,1.728831615120264,21.17656540501864
B3_breakout_long,15,2907,0.4166494668042883,0.20000000000095497,8.267317101684833,2.717244701040593,0.5094599243206054,0.5094599243206054,0.47953216374269003,4.78692810457516,4.401857585139314,1.0874790953564344,1.728831615120264,21.17656540501864
B3_breakout_long,30,2902,0.3124396967608485,0.0,11.741528676708127,1.433475479765295,0.49931082012405237,0.49931082012405237,0.494486560992419,6.982150241212936,6.643280496209509,1.0510093989252414,1.728831615120264,21.17656540501864
B3_breakout_long,60,2889,0.602007615091736,0.40000000000048885,16.58058730773646,1.951532759624414,0.5178262374524056,0.5178262374524056,0.4780200761509173,10.252821045344406,9.924541363793711,1.0330775669642842,1.728831615120264,21.17656540501864
B3_breakout_short,5,1823,-0.1496434448710765,-0.20000000000095497,8.035798651757744,-0.7951004244603225,0.4646187602852441,0.4646187602852441,0.5222161272627537,3.6175534832693415,3.4475589687328467,1.0493086604401074,1.7855732309380699,25.808388727517503
B3_breakout_short,10,1823,-0.11448162369721429,-0.30000000000143245,10.189340270645909,-0.47971472457004816,0.4690071311025782,0.4690071311025782,0.5205704882062534,5.374821722435561,5.162095447065267,1.0412092874980123,1.7855732309380699,25.808388727517503
B3_breakout_short,15,1823,-0.11908941305542069,-0.39999999999906777,12.680316035400796,-0.40099264917382554,0.46571585298957763,0.46571585298957763,0.5244103126714207,6.828853538123964,6.450795392210631,1.0586064388850156,1.7855732309380699,25.808388727517503
B3_breakout_short,30,1821,0.1318506315211233,-0.20000000000095497,17.76504922568082,0.31671656016780186,0.4870950027457441,0.4870950027457441,0.5074135090609555,10.542449203734186,9.610433827567288,1.0969795321303224,1.7855732309380699,25.808388727517503
B3_breakout_short,60,1818,0.18041804180419768,-0.9500000000002728,23.695499560884826,0.3246467317258227,0.4675467546754675,0.4675467546754675,0.5286028602860287,15.311166116611634,13.845434543454335,1.105863890985657,1.7855732309380699,25.808388727517503
C1_trend_cont_long,5,2143,-0.15338310779284461,0.0,4.2058012585208635,-1.6882621034347411,0.47970135324311713,0.47970135324311713,0.4983667755482968,1.9720951936537385,2.1373308446103785,0.9226906534506307,1.7573227611940536,48.77319674871126
C1_trend_cont_long,10,2144,-0.08917910447760759,0.0,5.92755254050914,-0.69662665089157,0.49300373134328357,0.49300373134328357,0.48927238805970147,3.043749999999969,3.247807835820906,0.9371705944020668,1.7573227611940536,48.77319674871126
C1_trend_cont_long,15,2139,-0.19864422627399347,-0.09999999999763531,7.6313336058923715,-1.2038736241364536,0.48714352501168773,0.48714352501168773,0.5002337540906966,3.885928003740032,4.151145395044429,0.9361098284774585,1.7573227611940536,48.77319674871126
C1_trend_cont_long,30,2136,-0.6815074906367168,-0.20000000000095497,10.865015932609987,-2.898951104335333,0.48642322097378277,0.48642322097378277,0.5056179775280899,5.612640449438184,6.477996254681632,0.8664161306641607,1.7573227611940536,48.77319674871126
C1_trend_cont_long,60,2127,-1.1365773389750882,-0.20000000000095497,14.724126250145043,-3.5600262904736417,0.48707099200752235,0.48707099200752235,0.5086976962858486,8.067042783262762,9.655947343676551,0.8354480918483544,1.7573227611940536,48.77319674871126
C1_trend_cont_short,5,1155,-0.0335064935064837,-0.20000000000095497,7.431984679256592,-0.15321989740359618,0.4692640692640693,0.4692640692640693,0.516017316017316,3.1529870129869764,3.3315151515151182,0.9464123288027221,1.8959307359307538,62.92717921284186
C1_trend_cont_short,10,1154,-0.1573656845753914,-0.2999999999993008,9.769323919562913,-0.547202950117469,0.4800693240901213,0.4800693240901213,0.5095320623916811,4.908232235701909,4.924523396880434,0.9966918298755885,1.8959307359307538,62.92717921284186
C1_trend_cont_short,15,1153,0.07502168256720443,-0.20000000000095497,10.64793605393696,0.2392412261050572,0.4856895056374675,0.4856895056374675,0.5073720728534259,6.25307892454466,5.953686036426707,1.0502869795763774,1.8959307359307538,62.92717921284186
C1_trend_cont_short,30,1153,-0.25108412836080374,-0.49999999999954525,15.755531467618557,-0.5411290596385733,0.4778837814397225,0.4778837814397225,0.5151777970511708,8.92636600173459,8.865741543798787,1.0068380583436032,1.8959307359307538,62.92717921284186
C1_trend_cont_short,60,1150,-0.27208695652178033,-0.8499999999997954,23.717594244670668,-0.38903261102243303,0.4791304347826087,0.4791304347826087,0.5182608695652174,13.218000000000023,13.24217391304347,0.9981744754900376,1.8959307359307538,62.92717921284186
C2_pullback_long,5,2602,0.03858570330511402,0.10000000000047748,3.940538724881003,0.49948731907867355,0.5038431975403536,0.5038431975403536,0.4719446579554189,1.9109146810145752,1.9875096079938384,0.9614618582616177,1.811486746062211,48.624132661744476
C2_pullback_long,10,2602,0.16283627978479767,0.20000000000095497,5.655464069729732,1.4687117533260876,0.5161414296694851,0.5161414296694851,0.46464258262874714,2.984973097617223,3.000307455803218,0.9948890710662551,1.811486746062211,48.624132661744476
C2_pullback_long,15,2596,0.14822804314327817,0.39999999999906777,7.183079610940453,1.0514098455671785,0.5304314329738059,0.5304314329738059,0.45454545454545453,3.83697996918337,3.918990755007699,0.9790734934193107,1.811486746062211,48.624132661744476
C2_pullback_long,30,2594,0.07447956823437892,0.6000000000000227,10.561320594076571,0.3591731885805169,0.5350809560524287,0.5350809560524287,0.4579799537393986,5.738589051657677,5.941595990747874,0.9658329278183312,1.811486746062211,48.624132661744476
C2_pullback_long,60,2588,-0.19489953632149243,0.49999999999954525,15.567422257573774,-0.636907314218179,0.5289799072642968,0.5289799072642968,0.4652241112828439,8.385162287480675,8.801236476043268,0.9527254846867101,1.811486746062211,48.624132661744476
C2_pullback_short,5,1442,0.08273231622745678,0.0,7.136990077489659,0.4401925828574137,0.49791955617198336,0.49791955617198336,0.4895977808599168,2.946671289875125,2.9166435506241704,1.0102953064814961,1.852011095700439,63.34978482666629
C2_pullback_short,10,1442,0.09355062413311811,-0.1999999999981128,9.07070346559322,0.39164117964707423,0.48474341192787795,0.48474341192787795,0.507628294036061,4.544660194174725,4.4113730929265245,1.030214424951252,1.852011095700439,63.34978482666629
C2_pullback_short,15,1437,0.2083507306888967,-0.10000000000047748,10.473206954962311,0.7541256740080818,0.4892136395267919,0.4892136395267919,0.5031315240083507,5.726791927626991,5.528183716075182,1.035926485397778,1.852011095700439,63.34978482666629
C2_pullback_short,30,1436,-0.024791086351003248,-0.2999999999993008,14.268653234034366,-0.0658399957906001,0.4832869080779944,0.4832869080779944,0.5083565459610028,8.519359331476283,8.362674094707533,1.018736260075938,1.852011095700439,63.34978482666629
C2_pullback_short,60,1429,0.17263820853741282,-0.49999999999954525,21.354829749010165,0.30560251339202105,0.4821553533939818,0.4821553533939818,0.516445066480056,12.752274317704684,12.502869139258221,1.0199478356262521,1.852011095700439,63.34978482666629
